hero,pickrate,winrate,synergy_score,counter_score,meta_score
16,0.302917,0.543917,0.0,0.0,0.34768774999999996
20,0.249179,0.54416,0.0,0.0,0.33437475
7,0.253712,0.525117,0.0,0.0,0.32598649999999996
18,0.241033,0.525484,0.0,0.0,0.32300025
64,0.252332,0.512367,0.0,0.0,0.3192665
65,0.261661,0.504645,0.0,0.0,0.31773775
31,0.274143,0.492212,0.0,0.0,0.31464175
81,0.169557,0.534676,0.0,0.0,0.30972725
13,0.224149,0.506448,0.0,0.0,0.30926125
8,0.112929,0.554974,0.0,0.0,0.30571925
77,0.208974,0.504873,0.0,0.0,0.30468
11,0.118447,0.540765,0.0,0.0,0.29999425
2,0.147418,0.523619,0.0,0.0,0.298664
35,0.148666,0.515245,0.0,0.0,0.29478899999999997
80,0.156615,0.506711,0.0,0.0,0.29250925
50,0.148469,0.510177,0.0,0.0,0.29220575
10,0.216003,0.475061,0.0,0.0,0.29153125
3,0.159375,0.502061,0.0,0.0,0.29087425
6,0.152608,0.496341,0.0,0.0,0.2863225
4,0.123243,0.508529,0.0,0.0,0.28507525
69,0.156813,0.491412,0.0,0.0,0.28490925
66,0.120878,0.508152,0.0,0.0,0.28429550000000003
67,0.113717,0.500867,0.0,0.0,0.27886275
19,0.185718,0.459498,0.0,0.0,0.2761785
25,0.11733,0.493281,0.0,0.0,0.275973
27,0.135265,0.480816,0.0,0.0,0.27422425
12,0.102352,0.496791,0.0,0.0,0.2739835
58,0.063526,0.516029,0.0,0.0,0.273896
63,0.142885,0.467586,0.0,0.0,0.26951425
76,0.087899,0.490284,0.0,0.0,0.26711675
15,0.141834,0.451135,0.0,0.0,0.261026
1,0.119827,0.456689,0.0,0.0,0.25830125
72,0.09276,0.465297,0.0,0.0,0.2558385
79,0.153988,0.430461,0.0,0.0,0.2537275
17,0.075614,0.462207,0.0,0.0,0.250007
60,0.079162,0.457261,0.0,0.0,0.24842099999999998
14,0.069899,0.456767,0.0,0.0,0.24585825
52,0.119104,0.408715,0.0,0.0,0.2341335
