hero,score
Lady Geist,0.05
Ivy,0.05
Wraith,0.05
Lash,0.05
Billy,0.025
Haze,0.025
Rem,0.025
Victor,0.025
Warden,0.025
Vindicta,0.025
Pocket,0.025
Kelvin,0.025
Holliday,0.025
Drifter,0.025
Celeste,0.0
Calico,0.0
Bebop,0.0
Apollo,0.0
Abrams,0.0
Dynamo,0.0
Infernus,0.0
Grey Talon,0.0
Paige,0.0
Mo & Krill,0.0
Mirage,0.0
Mina,0.0
McGinnis,0.0
Graves,0.0
Paradox,0.0
Seven,0.0
The Doorman,0.0
Sinclair,0.0
Silver,0.0
Shiv,0.0
Viscous,0.0
Venator,0.0
Vyper,0.0
Yamato,0.0
