hero,pickrate
12,0.166667
13,0.166667
14,0.166667
20,0.333333
25,0.166667
3,0.166667
31,0.333333
4,0.333333
50,0.166667
64,0.166667
66,0.166667
7,0.333333
72,0.166667
79,0.166667
