hero,score
Calico,0.208576
Ivy,0.200525
Wraith,0.195456
Mo & Krill,0.193805
Drifter,0.191774
Venator,0.190723
Lash,0.18879
Celeste,0.185747
Haze,0.185633
McGinnis,0.183346
Apollo,0.182755
Dynamo,0.180085
Seven,0.179215
Viscous,0.176994
Silver,0.175778
Pocket,0.175401
Paradox,0.174923
Vindicta,0.174222
Abrams,0.17217
Lady Geist,0.170997
The Doorman,0.170749
Victor,0.170472
Paige,0.16703
Shiv,0.165498
Warden,0.165301
Yamato,0.164598
Kelvin,0.164371
Vyper,0.164189
Mina,0.161986
Graves,0.159948
Bebop,0.156566
Infernus,0.154918
Billy,0.153471
Rem,0.152533
Grey Talon,0.150455
Sinclair,0.149263
Holliday,0.147234
Mirage,0.14059
