hero_a,hero_b,synergy_score,games
1,10,0.421965,346
1,11,0.529644,253
1,12,0.471963,214
1,13,0.4375,304
1,14,0.42029,138
1,15,0.418803,234
1,16,0.535332,467
1,17,0.494253,87
1,18,0.435666,443
1,19,0.365217,230
1,2,0.433673,196
1,20,0.509278,485
1,25,0.477124,153
1,27,0.420118,169
1,3,0.410569,246
1,31,0.437956,411
1,35,0.481633,245
1,4,0.541401,157
1,50,0.462766,188
1,52,0.353933,178
1,58,0.547368,95
1,6,0.449495,198
1,60,0.396341,164
1,63,0.393617,188
1,64,0.459016,366
1,65,0.438903,401
1,66,0.449275,138
1,67,0.514286,280
1,69,0.424419,344
1,7,0.474138,348
1,72,0.475,120
1,76,0.404762,126
1,77,0.503937,254
1,79,0.398438,384
1,8,0.541237,194
1,80,0.471591,176
1,81,0.473171,205
10,11,0.565359,306
10,12,0.447699,239
10,13,0.477341,662
10,14,0.449102,167
10,15,0.415789,380
10,16,0.508824,1020
10,17,0.451777,197
10,18,0.498489,662
10,19,0.424242,594
10,2,0.492163,319
10,20,0.510269,633
10,25,0.468665,367
10,27,0.428266,467
10,3,0.494253,435
10,31,0.485677,768
10,35,0.489311,421
10,4,0.497297,370
10,50,0.469194,422
10,52,0.386842,380
10,58,0.45614,171
10,6,0.473461,471
10,60,0.40884,181
10,63,0.445946,370
10,64,0.507363,747
10,65,0.477157,788
10,66,0.502604,384
10,67,0.431193,218
10,69,0.459384,357
10,7,0.501877,799
10,72,0.421875,256
10,76,0.4625,240
10,77,0.496494,713
10,79,0.386364,308
10,8,0.542208,308
10,80,0.462136,515
10,81,0.492375,459
11,12,0.553191,94
11,13,0.551111,450
11,14,0.530864,81
11,15,0.525581,215
11,16,0.593633,534
11,17,0.503704,135
11,18,0.580189,212
11,19,0.496183,262
11,2,0.570776,219
11,20,0.556391,266
11,25,0.488372,172
11,27,0.520325,246
11,3,0.539749,239
11,31,0.546154,390
11,35,0.654255,188
11,4,0.524664,223
11,50,0.562249,249
11,52,0.407407,189
11,58,0.508929,112
11,6,0.480687,233
11,60,0.425532,94
11,63,0.5,248
11,64,0.548309,414
11,65,0.561538,520
11,66,0.572165,194
11,67,0.439252,107
11,69,0.469945,183
11,7,0.548828,512
11,72,0.487179,117
11,76,0.613636,132
11,77,0.559172,338
11,79,0.477707,157
11,8,0.619355,155
11,80,0.544803,279
11,81,0.556291,302
12,13,0.495215,418
12,14,0.340426,47
12,15,0.459677,124
12,16,0.55102,441
12,17,0.37594,133
12,18,0.484472,161
12,19,0.447115,208
12,2,0.526132,287
12,20,0.557377,305
12,25,0.56962,158
12,27,0.451282,195
12,3,0.496094,256
12,31,0.475524,286
12,35,0.506329,158
12,4,0.460227,176
12,50,0.518395,299
12,52,0.404444,225
12,58,0.536842,95
12,6,0.533333,120
12,60,0.434783,69
12,63,0.473118,279
12,64,0.508961,279
12,65,0.519149,470
12,66,0.522222,180
12,67,0.511628,86
12,69,0.484848,132
12,7,0.525168,596
12,72,0.463158,95
12,76,0.473684,95
12,77,0.525735,272
12,79,0.407895,76
12,8,0.538961,154
12,80,0.487952,166
12,81,0.453125,192
13,14,0.457778,225
13,15,0.477707,471
13,16,0.559074,821
13,17,0.496689,151
13,18,0.528526,1262
13,19,0.468013,594
13,2,0.491857,307
13,20,0.531088,772
13,25,0.48926,419
13,27,0.497423,388
13,3,0.504021,373
13,31,0.533178,859
13,35,0.514231,527
13,4,0.527157,313
13,50,0.552542,295
13,52,0.414545,275
13,58,0.4875,160
13,6,0.516464,577
13,60,0.488584,219
13,63,0.477509,289
13,64,0.512363,728
13,65,0.50702,641
13,66,0.493888,409
13,67,0.502591,386
13,69,0.502203,454
13,7,0.518966,580
13,72,0.461538,325
13,76,0.521008,238
13,77,0.538869,566
13,79,0.430584,497
13,8,0.503268,306
13,80,0.528205,390
13,81,0.528302,424
14,15,0.390071,141
14,16,0.53112,241
14,17,0.34375,64
14,18,0.41958,143
14,19,0.409556,293
14,2,0.517857,112
14,20,0.514793,169
14,25,0.496855,159
14,27,0.458015,131
14,3,0.358025,81
14,31,0.448819,254
14,35,0.461039,154
14,4,0.446154,130
14,50,0.427273,110
14,52,0.382022,89
14,58,0.472727,55
14,6,0.443243,185
14,60,0.408163,49
14,63,0.478992,119
14,64,0.459854,274
14,65,0.451178,297
14,66,0.528662,157
14,67,0.526316,38
14,69,0.347826,69
14,7,0.514151,212
14,72,0.445455,110
14,76,0.528571,70
14,77,0.42,250
14,79,0.3125,48
14,8,0.517857,56
14,80,0.480769,208
14,81,0.474227,194
15,16,0.474074,540
15,17,0.442177,147
15,18,0.459375,320
15,19,0.418239,318
15,2,0.488818,313
15,20,0.491315,403
15,25,0.418367,196
15,27,0.383673,245
15,3,0.393836,292
15,31,0.46595,558
15,35,0.465587,247
15,4,0.505376,279
15,50,0.428571,259
15,52,0.378505,214
15,58,0.507576,132
15,6,0.46595,279
15,60,0.380165,121
15,63,0.396887,257
15,64,0.469231,520
15,65,0.450185,542
15,66,0.424731,186
15,67,0.471503,193
15,69,0.413793,261
15,7,0.463007,419
15,72,0.342657,143
15,76,0.419355,186
15,77,0.440529,454
15,79,0.38676,287
15,8,0.537234,188
15,80,0.501326,377
15,81,0.501393,359
16,17,0.540268,298
16,18,0.570255,1096
16,19,0.516963,619
16,2,0.582353,680
16,20,0.597968,1378
16,25,0.559494,395
16,27,0.535354,495
16,3,0.542607,798
16,31,0.516978,1178
16,35,0.545455,737
16,4,0.538813,438
16,50,0.551282,702
16,52,0.440454,529
16,58,0.495868,242
16,6,0.54375,480
16,60,0.518116,276
16,63,0.494689,659
16,64,0.551357,1032
16,65,0.556257,951
16,66,0.595238,378
16,67,0.521605,324
16,69,0.556188,703
16,7,0.578139,1107
16,72,0.493075,361
16,76,0.522152,316
16,77,0.558997,678
16,79,0.406176,421
16,8,0.601027,584
16,80,0.54386,456
16,81,0.578462,650
17,18,0.501511,331
17,19,0.416309,233
17,2,0.527273,110
17,20,0.471616,229
17,25,0.454545,154
17,27,0.511811,127
17,3,0.422018,109
17,31,0.416404,317
17,35,0.465753,146
17,4,0.479592,98
17,50,0.423077,130
17,52,0.397727,88
17,58,0.473684,57
17,6,0.509615,208
17,60,0.505495,91
17,63,0.414141,99
17,64,0.494624,279
17,65,0.495413,218
17,66,0.42963,135
17,67,0.451613,124
17,69,0.484127,126
17,7,0.466667,165
17,72,0.409836,122
17,76,0.458333,72
17,77,0.446281,242
17,79,0.364865,148
17,8,0.533333,90
17,80,0.394558,147
17,81,0.527607,163
18,19,0.456583,357
18,2,0.549834,602
18,20,0.575758,693
18,25,0.556098,205
18,27,0.513736,364
18,3,0.523737,653
18,31,0.531664,679
18,35,0.552542,295
18,4,0.549528,424
18,50,0.552055,730
18,52,0.414286,490
18,58,0.493671,237
18,6,0.507937,189
18,60,0.435233,193
18,63,0.51312,686
18,64,0.54488,791
18,65,0.521622,1110
18,66,0.552846,246
18,67,0.56213,169
18,69,0.506361,393
18,7,0.546512,1462
18,72,0.522727,176
18,76,0.543651,252
18,77,0.529326,682
18,79,0.456731,208
18,8,0.578035,346
18,80,0.513131,495
18,81,0.552721,588
19,2,0.466063,442
19,20,0.520422,759
19,25,0.537313,134
19,27,0.408257,218
19,3,0.465587,494
19,31,0.428571,623
19,35,0.472313,307
19,4,0.49789,237
19,50,0.451613,465
19,52,0.358423,279
19,58,0.489655,145
19,6,0.42723,213
19,60,0.451411,319
19,63,0.418981,432
19,64,0.492337,522
19,65,0.453177,598
19,66,0.417178,163
19,67,0.462264,424
19,69,0.473856,612
19,7,0.510029,698
19,72,0.413793,116
19,76,0.397436,234
19,77,0.459524,420
19,79,0.403604,555
19,8,0.548822,297
19,80,0.444068,295
19,81,0.483568,426
2,20,0.563953,344
2,25,0.560137,291
2,27,0.461017,295
2,3,0.506494,231
2,31,0.517544,570
2,35,0.552347,277
2,4,0.565957,235
2,50,0.502203,227
2,52,0.42487,193
2,58,0.529412,119
2,6,0.506522,460
2,60,0.541667,144
2,63,0.57377,183
2,64,0.511719,512
2,65,0.556561,442
2,66,0.536278,317
2,67,0.478261,207
2,69,0.520179,223
2,7,0.554645,366
2,72,0.504505,222
2,76,0.497006,167
2,77,0.518605,430
2,79,0.477064,327
2,8,0.573034,178
2,80,0.54918,366
2,81,0.536278,317
20,25,0.519231,468
20,27,0.515464,485
20,3,0.574837,461
20,31,0.524146,849
20,35,0.548729,472
20,4,0.545794,535
20,50,0.578495,465
20,52,0.431877,389
20,58,0.554217,166
20,6,0.55666,503
20,60,0.527197,239
20,63,0.497826,460
20,64,0.559611,822
20,65,0.549946,931
20,66,0.542471,518
20,67,0.483986,281
20,69,0.595794,428
20,7,0.588776,980
20,72,0.515358,293
20,76,0.523148,216
20,77,0.547745,754
20,79,0.452941,340
20,8,0.571429,343
20,80,0.551786,560
20,81,0.593466,551
25,27,0.51938,129
25,3,0.503356,298
25,31,0.478697,399
25,35,0.511765,170
25,4,0.458333,144
25,50,0.538732,284
25,52,0.404255,188
25,58,0.493976,83
25,6,0.488372,129
25,60,0.411168,197
25,63,0.464419,267
25,64,0.444795,317
25,65,0.487671,365
25,66,0.455696,79
25,67,0.476868,281
25,69,0.480826,339
25,7,0.523041,434
25,72,0.409091,66
25,76,0.503311,151
25,77,0.465455,275
25,79,0.46134,388
25,8,0.511962,209
25,80,0.480874,183
25,81,0.516729,269
27,3,0.501548,323
27,31,0.476096,502
27,35,0.514644,239
27,4,0.450292,171
27,50,0.489865,296
27,52,0.369565,230
27,58,0.561404,114
27,6,0.434524,168
27,60,0.454545,198
27,63,0.461538,273
27,64,0.493404,379
27,65,0.504717,424
27,66,0.515723,159
27,67,0.544747,257
27,69,0.476303,422
27,7,0.497863,468
27,72,0.422414,116
27,76,0.536913,149
27,77,0.465574,305
27,79,0.371105,353
27,8,0.512821,234
27,80,0.489712,243
27,81,0.559105,313
3,31,0.488889,630
3,35,0.548223,394
3,4,0.512987,308
3,50,0.529644,253
3,52,0.405172,232
3,58,0.53012,83
3,6,0.465296,389
3,60,0.393939,132
3,63,0.482927,205
3,64,0.513966,537
3,65,0.496674,451
3,66,0.549708,342
3,67,0.482558,172
3,69,0.53125,288
3,7,0.535792,461
3,72,0.440476,252
3,76,0.502732,183
3,77,0.488095,420
3,79,0.393162,234
3,8,0.591928,223
3,80,0.520979,286
3,81,0.529762,336
31,35,0.54071,479
31,4,0.505423,461
31,50,0.5,608
31,52,0.407323,437
31,58,0.532787,244
31,6,0.481675,573
31,60,0.464,250
31,63,0.426025,561
31,64,0.493532,1005
31,65,0.499495,991
31,66,0.484043,376
31,67,0.472081,394
31,69,0.438384,495
31,7,0.513144,951
31,72,0.465625,320
31,76,0.473239,355
31,77,0.513388,859
31,79,0.430451,532
31,8,0.544118,408
31,80,0.512027,582
31,81,0.538678,711
35,4,0.490196,255
35,50,0.516923,325
35,52,0.390351,228
35,58,0.55,120
35,6,0.472222,180
35,60,0.439716,141
35,63,0.506897,290
35,64,0.502879,521
35,65,0.495327,535
35,66,0.596154,208
35,67,0.502347,213
35,69,0.486647,337
35,7,0.539455,697
35,72,0.472868,129
35,76,0.477707,157
35,77,0.546632,386
35,79,0.421642,268
35,8,0.544715,246
35,80,0.515789,285
35,81,0.579268,328
4,50,0.519149,235
4,52,0.372093,172
4,58,0.534884,86
4,6,0.547085,223
4,60,0.433824,136
4,63,0.475771,227
4,64,0.51699,412
4,65,0.491379,348
4,66,0.538462,156
4,67,0.564103,195
4,69,0.514599,274
4,7,0.532609,368
4,72,0.446281,121
4,76,0.48951,143
4,77,0.522727,308
4,79,0.397887,284
4,8,0.583333,192
4,80,0.48996,249
4,81,0.516854,267
50,52,0.455056,178
50,58,0.55,100
