hero_a,hero_b,counter_score
1,2,-0.08718900000000002
1,3,-0.038461999999999996
1,4,-0.011415999999999982
1,6,0.005225999999999953
1,7,-0.066494
1,8,-0.079592
1,10,-0.07423600000000002
1,11,-0.07500000000000001
1,12,-0.009091000000000016
1,13,-0.05952400000000002
1,14,-0.139175
1,15,-0.02401700000000001
1,16,-0.09450700000000001
1,17,-0.009091000000000016
1,18,-0.06950699999999999
1,19,0.024355000000000016
1,20,-0.083673
1,25,-0.023363999999999996
1,27,-0.05102000000000001
1,31,-0.010319000000000023
1,35,-0.093333
1,50,-0.07768900000000001
1,52,0.06306299999999998
1,58,-0.10606100000000002
1,60,0.008064999999999989
1,63,0.028225999999999973
1,64,-0.027197000000000027
1,65,-0.0011090000000000266
1,66,-0.07241399999999998
1,67,0.02054800000000001
1,69,-0.033333
1,72,0.059006
1,76,-0.078571
1,77,-0.07647100000000001
1,79,0.03303999999999996
1,80,-0.07195600000000002
1,81,-0.08552599999999999
2,1,0.08718899999999996
2,3,0.0071229999999999905
2,4,0.03191500000000003
2,6,0.01873199999999997
2,7,-0.04081600000000002
2,8,-0.020913000000000015
2,10,0.06042000000000003
2,11,0.030908999999999964
2,12,0.0050000000000000044
2,13,0.028650999999999982
2,14,0.028409000000000018
2,15,0.04294500000000001
2,16,-0.016077000000000008
2,17,0.04658399999999996
2,18,-0.007842999999999989
2,19,0.04814799999999997
2,20,0.0017179999999999973
2,25,0.042435
2,27,0.054817000000000005
2,31,0.046142000000000016
2,35,-0.0031649999999999734
2,50,0.010703000000000018
2,52,0.10474300000000003
2,58,0.02343799999999996
2,60,0.019553000000000043
2,63,0.07324799999999998
2,64,0.02456400000000003
2,65,-0.018237000000000003
2,66,0.004274
2,67,0.009579000000000004
2,69,0.02407899999999996
2,72,0.03773599999999999
2,76,0.07603700000000002
2,77,0.023711000000000038
2,79,0.07480299999999995
2,80,0.01948099999999997
2,81,0.018692000000000042
3,1,0.038461999999999996
3,2,-0.0071229999999999905
3,4,0.010135000000000005
3,6,-0.0067110000000000225
3,7,-0.017923000000000022
3,8,-0.06603799999999999
3,10,0.03610100000000005
3,11,-0.03521099999999999
3,12,-0.005016999999999994
3,13,-0.01286799999999999
3,14,0.04545500000000002
3,15,0.03205100000000005
3,16,-0.03390900000000002
3,17,0.022167000000000048
3,18,-0.020324999999999982
3,19,0.052941000000000016
3,20,-0.028351000000000015
3,25,0.01943499999999998
3,27,0.050000000000000044
3,31,0.012356000000000034
3,35,-0.01206400000000002
3,50,-0.003722000000000003
3,52,0.10616400000000004
3,58,-0.0066669999999999785
3,60,0.04090899999999997
3,63,-0.004925999999999986
3,64,-0.014286000000000021
3,65,0.015773000000000037
3,66,-0.011400999999999994
3,67,0.020754999999999968
3,69,0.00956900000000005
3,72,0.0044640000000000235
3,76,-0.012195000000000011
3,77,-0.019668999999999992
3,79,0.06547599999999998
3,80,-0.046584000000000014
3,81,-0.012535000000000018
4,1,0.011415999999999982
4,2,-0.03191500000000003
4,3,-0.010135000000000005
4,6,0.022033999999999998
4,7,0.025734999999999952
4,8,-0.08771899999999999
4,10,0.02459
4,11,-0.06422
4,12,0.024038000000000004
4,13,-0.01962999999999998
4,14,0.02127699999999999
4,15,0.04222199999999998
4,16,-0.020301000000000013
4,17,0.08282199999999995
4,18,0.008850000000000025
4,19,0.047738999999999976
4,20,-0.019511999999999974
4,25,0.0020919999999999828
4,27,0.029411999999999994
4,31,0.005703000000000014
4,35,0.042372999999999994
4,50,0.02090000000000003
4,52,0.036170000000000035
4,58,0.03608199999999995
4,60,0.012820999999999971
4,63,0.05149499999999996
4,64,-0.0034009999999999874
4,65,-0.01636399999999999
4,66,0.02083299999999999
4,67,-0.0066669999999999785
4,69,0.026132000000000044
4,72,0.06741600000000003
4,76,0.020958000000000032
4,77,0.009186000000000027
4,79,0.07692299999999996
4,80,-0.02671800000000002
4,81,-0.021127000000000007
6,1,-0.005226000000000008
6,2,-0.018732000000000026
6,3,0.0067110000000000225
6,4,-0.022033999999999998
6,7,-0.05038799999999999
6,8,-0.03811700000000001
6,10,0.05063300000000004
6,11,-0.06457600000000002
6,12,0.02966100000000005
6,13,-0.013944000000000012
6,14,0.08024699999999996
6,15,-0.0013119999999999798
6,16,-0.05104900000000001
6,17,0.044943999999999984
6,18,-0.04904799999999998
6,19,0.027163000000000048
6,20,-0.05364000000000002
6,25,0.024845000000000006
6,27,0.029967999999999995
6,31,0.02863400000000005
6,35,-0.040615999999999985
6,50,-0.03465299999999999
6,52,0.09482800000000002
6,58,-0.036912999999999974
6,60,0.046798000000000006
6,63,0.03892200000000001
6,64,-0.00728899999999999
6,65,0.015818
6,66,-0.039032999999999984
6,67,-0.01171899999999998
6,69,-0.0034009999999999874
6,72,0.027197000000000027
6,76,-0.007176999999999989
6,77,0.010017999999999971
6,79,0.086592
6,80,0.015086000000000044
6,81,-0.05324099999999998
7,1,0.06649400000000005
7,2,0.04081599999999996
7,3,0.017923000000000022
7,4,-0.025735000000000008
7,6,0.05038799999999999
7,8,-0.026422999999999974
7,10,0.028587999999999947
7,11,0.009174000000000015
7,12,0.02688199999999996
7,13,0.01387499999999997
7,14,0.07599999999999996
7,15,0.07032799999999995
