hero,pickrate,winrate,synergy_score,counter_score,meta_score
16,0.302732,0.544035,0.0,0.0,0.3477005
20,0.248949,0.54392,0.0,0.0,0.33419725
7,0.253677,0.524981,0.0,0.0,0.32590975
18,0.241069,0.52547,0.0,0.0,0.32300225
64,0.252561,0.51248,0.0,0.0,0.31938025000000003
65,0.261689,0.505144,0.0,0.0,0.31799425000000003
31,0.274297,0.49198,0.0,0.0,0.31456425
81,0.169753,0.534236,0.0,0.0,0.30955625000000003
13,0.224258,0.506296,0.0,0.0,0.3092125
8,0.112818,0.554715,0.0,0.0,0.305562
77,0.209154,0.504553,0.0,0.0,0.30456500000000003
11,0.118466,0.54102,0.0,0.0,0.30012649999999996
2,0.147557,0.523364,0.0,0.0,0.29857125
35,0.148542,0.515473,0.0,0.0,0.29487199999999997
80,0.156751,0.50775,0.0,0.0,0.29306275000000004
50,0.148476,0.509951,0.0,0.0,0.29209450000000003
10,0.215984,0.47522,0.0,0.0,0.291606
3,0.159115,0.501857,0.0,0.0,0.29070725
6,0.152811,0.496347,0.0,0.0,0.28637625
4,0.123063,0.509072,0.0,0.0,0.28530174999999997
69,0.156751,0.491412,0.0,0.0,0.28489375
66,0.12083,0.508152,0.0,0.0,0.2842835
67,0.113672,0.500867,0.0,0.0,0.2788515
19,0.185776,0.459173,0.0,0.0,0.2760305
25,0.117284,0.492721,0.0,0.0,0.2756815
27,0.135146,0.48105,0.0,0.0,0.2743115
12,0.102312,0.496791,0.0,0.0,0.2739735
58,0.063567,0.515496,0.0,0.0,0.27363974999999996
63,0.142763,0.467341,0.0,0.0,0.26936125
76,0.087996,0.489552,0.0,0.0,0.266775
15,0.141778,0.451135,0.0,0.0,0.261012
1,0.119779,0.456689,0.0,0.0,0.25828925
72,0.092724,0.465297,0.0,0.0,0.2558295
79,0.15419,0.430579,0.0,0.0,0.253837
17,0.075781,0.463605,0.0,0.0,0.25074775
60,0.078999,0.458022,0.0,0.0,0.24876075
14,0.069871,0.456767,0.0,0.0,0.24585125
52,0.119057,0.408715,0.0,0.0,0.23412175
