hero,pickrate,winrate,synergy_score,counter_score,meta_score
16,0.303679,0.543436,0.0,0.0,0.34763775
20,0.24928,0.544118,0.0,0.0,0.334379
7,0.254844,0.525302,0.0,0.0,0.32636200000000004
18,0.242014,0.527725,0.0,0.0,0.324366
64,0.251637,0.510666,0.0,0.0,0.31824224999999995
65,0.260932,0.503512,0.0,0.0,0.31698899999999997
31,0.273566,0.492702,0.0,0.0,0.3147425
13,0.223488,0.507323,0.0,0.0,0.30953349999999996
81,0.168892,0.532171,0.0,0.0,0.3083085
8,0.11266,0.556072,0.0,0.0,0.306201
77,0.207973,0.506767,0.0,0.0,0.30537675
11,0.117897,0.540811,0.0,0.0,0.29987975
2,0.147159,0.524021,0.0,0.0,0.29880025
35,0.148795,0.515178,0.0,0.0,0.29478775
80,0.155734,0.509458,0.0,0.0,0.2936625
50,0.149254,0.510965,0.0,0.0,0.292796
10,0.215632,0.476017,0.0,0.0,0.2919165
3,0.160644,0.50163,0.0,0.0,0.290976
69,0.157764,0.492946,0.0,0.0,0.285914
6,0.152985,0.494223,0.0,0.0,0.28535775
4,0.124378,0.507895,0.0,0.0,0.285042
66,0.121432,0.507817,0.0,0.0,0.2842665
67,0.11338,0.498845,0.0,0.0,0.2777675
25,0.116981,0.494124,0.0,0.0,0.27630725
19,0.18552,0.458363,0.0,0.0,0.2755615
58,0.063171,0.518135,0.0,0.0,0.27486025000000003
12,0.103168,0.498096,0.0,0.0,0.27484
27,0.135441,0.479459,0.0,0.0,0.27358975
63,0.143166,0.467307,0.0,0.0,0.269445
76,0.08713,0.492111,0.0,0.0,0.267838
15,0.141987,0.449516,0.0,0.0,0.26025475000000003
1,0.120123,0.455586,0.0,0.0,0.25782375
72,0.093153,0.467323,0.0,0.0,0.25694975
79,0.152789,0.427592,0.0,0.0,0.25199325
17,0.075085,0.465562,0.0,0.0,0.25155225
60,0.079209,0.454545,0.0,0.0,0.24707474999999998
14,0.069652,0.456767,0.0,0.0,0.2457965
52,0.119403,0.408443,0.0,0.0,0.23407225
