hero,score
Calico,0.20862
Ivy,0.200518
Wraith,0.195546
Mo & Krill,0.193801
Drifter,0.191628
Venator,0.190797
Lash,0.188739
Celeste,0.185734
Haze,0.185527
McGinnis,0.183337
Apollo,0.182739
Dynamo,0.180076
Seven,0.179143
Viscous,0.176923
Silver,0.175838
Pocket,0.175257
Paradox,0.174964
Vindicta,0.174424
Abrams,0.171826
Lady Geist,0.171181
The Doorman,0.170936
Victor,0.17057
Paige,0.167311
Shiv,0.165618
Warden,0.165409
Yamato,0.164587
Kelvin,0.164384
Vyper,0.164184
Mina,0.161617
Graves,0.160065
Bebop,0.156607
Infernus,0.154974
Billy,0.153498
Rem,0.152302
Grey Talon,0.150449
Sinclair,0.149256
Holliday,0.147511
Mirage,0.140473
