hero_a,hero_b,winrate,games
1,10,0.425764,458
1,11,0.425,200
1,12,0.490909,220
1,13,0.440476,420
1,14,0.360825,97
1,15,0.475983,229
1,16,0.405493,619
1,17,0.490909,110
1,18,0.430493,446
1,19,0.524355,349
1,2,0.412811,281
1,20,0.416327,490
1,25,0.476636,214
1,27,0.44898,245
1,3,0.461538,299
1,31,0.490602,532
1,35,0.406667,300
1,4,0.488584,219
1,50,0.422311,251
1,52,0.563063,222
1,58,0.393939,99
1,6,0.506993,286
1,60,0.508065,124
1,63,0.528226,248
1,64,0.473795,477
1,65,0.5,450
1,66,0.427586,290
1,67,0.522936,218
1,69,0.466667,285
1,7,0.433506,579
1,72,0.559006,161
1,76,0.421429,140
1,77,0.424779,339
1,79,0.53304,227
1,8,0.420408,245
1,80,0.428044,271
1,81,0.414474,304
10,1,0.574236,458
10,11,0.459184,392
10,12,0.491525,354
10,13,0.497981,743
10,14,0.532075,265
10,15,0.519588,485
10,16,0.423433,973
10,17,0.511111,270
10,18,0.439083,829
10,19,0.558574,589
10,2,0.43958,571
10,20,0.436344,919
10,25,0.455072,345
10,27,0.469214,471
10,3,0.463899,554
10,31,0.487512,1001
10,35,0.457944,535
10,4,0.474114,367
10,50,0.446069,547
10,52,0.540107,374
10,58,0.448718,234
10,6,0.451271,472
10,60,0.526515,264
10,63,0.493562,466
10,64,0.46765,881
10,65,0.455189,848
10,66,0.459799,398
10,67,0.485488,379
10,69,0.487013,616
10,7,0.47093,860
10,72,0.530351,313
10,76,0.520979,286
10,77,0.454268,656
10,79,0.543119,545
10,8,0.433962,371
10,80,0.453975,478
10,81,0.4336,625
11,1,0.575,200
11,10,0.540816,392
11,12,0.5,204
11,13,0.533499,403
11,14,0.58871,124
11,15,0.584559,272
11,16,0.475564,532
11,17,0.635659,129
11,18,0.515385,520
11,19,0.600575,348
11,2,0.471014,276
11,20,0.506306,555
11,25,0.5,216
11,27,0.569038,239
11,3,0.535211,284
11,31,0.544379,507
11,35,0.525084,299
11,4,0.56422,218
11,50,0.478764,259
11,52,0.626667,225
11,58,0.457143,105
11,6,0.568266,271
11,60,0.582781,151
11,63,0.606498,277
11,64,0.524664,446
11,65,0.546512,430
11,66,0.552995,217
11,67,0.543269,208
11,69,0.569492,295
11,7,0.489703,437
11,72,0.584211,190
11,76,0.647799,159
11,77,0.554896,337
11,79,0.616822,321
11,8,0.502183,229
11,80,0.549407,253
11,81,0.489865,296
12,1,0.509091,220
12,10,0.508475,354
12,11,0.5,204
12,13,0.52649,302
