hero,winrate
1,0.516129
10,0.457627
11,0.483333
12,0.459459
13,0.552083
14,0.764706
15,0.394366
16,0.565789
17,0.392857
18,0.608108
19,0.425532
2,0.4375
20,0.564103
25,0.447368
27,0.444444
3,0.479167
31,0.425926
35,0.490909
4,0.633333
50,0.515152
52,0.444444
58,0.411765
6,0.444444
60,0.32
63,0.507042
64,0.442857
65,0.527473
66,0.614035
67,0.547619
69,0.506329
7,0.577465
72,0.425532
76,0.494737
77,0.45
79,0.489583
8,0.564103
80,0.517241
81,0.403846
