hero,pickrate
1,0.08094
10,0.077023
11,0.078329
12,0.048303
13,0.125326
14,0.022193
15,0.092689
16,0.099217
17,0.036554
18,0.096606
19,0.061358
2,0.083551
20,0.101828
25,0.049608
27,0.046997
3,0.062663
31,0.070496
35,0.071802
4,0.078329
50,0.043081
52,0.035248
58,0.044386
6,0.058747
60,0.032637
63,0.092689
64,0.091384
65,0.118799
66,0.074413
67,0.109661
69,0.103133
7,0.092689
72,0.061358
76,0.124021
77,0.078329
79,0.125326
8,0.050914
80,0.075718
81,0.067885
