hero,pickrate,winrate,synergy_score,counter_score,meta_score
14,0.022193,0.764706,0.0,0.0,0.38790125
4,0.078329,0.633333,0.0,0.0,0.33624875000000004
18,0.096606,0.608108,0.0,0.0,0.3282055
66,0.074413,0.614035,0.0,0.0,0.32562075
7,0.092689,0.577465,0.0,0.0,0.31190475
16,0.099217,0.565789,0.0,0.0,0.30769875
20,0.101828,0.564103,0.0,0.0,0.3075085
13,0.125326,0.552083,0.0,0.0,0.307373
67,0.109661,0.547619,0.0,0.0,0.30122475
8,0.050914,0.564103,0.0,0.0,0.29478
65,0.118799,0.527473,0.0,0.0,0.29343625
69,0.103133,0.506329,0.0,0.0,0.27894775
76,0.124021,0.494737,0.0,0.0,0.27837375
1,0.08094,0.516129,0.0,0.0,0.2782995
80,0.075718,0.517241,0.0,0.0,0.27754999999999996
63,0.092689,0.507042,0.0,0.0,0.27669325
79,0.125326,0.489583,0.0,0.0,0.276123
50,0.043081,0.515152,0.0,0.0,0.26834625
35,0.071802,0.490909,0.0,0.0,0.263405
11,0.078329,0.483333,0.0,0.0,0.26124875000000003
3,0.062663,0.479167,0.0,0.0,0.25524925
10,0.077023,0.457627,0.0,0.0,0.24806925
77,0.078329,0.45,0.0,0.0,0.24458225
64,0.091384,0.442857,0.0,0.0,0.2442745
12,0.048303,0.459459,0.0,0.0,0.24180525
2,0.083551,0.4375,0.0,0.0,0.23963775
6,0.058747,0.444444,0.0,0.0,0.23690875
25,0.049608,0.447368,0.0,0.0,0.236086
27,0.046997,0.444444,0.0,0.0,0.23397125
52,0.035248,0.444444,0.0,0.0,0.23103400000000002
31,0.070496,0.425926,0.0,0.0,0.23058700000000001
72,0.061358,0.425532,0.0,0.0,0.22810550000000002
19,0.061358,0.425532,0.0,0.0,0.22810550000000002
15,0.092689,0.394366,0.0,0.0,0.22035525
81,0.067885,0.403846,0.0,0.0,0.21889424999999998
58,0.044386,0.411765,0.0,0.0,0.216979
17,0.036554,0.392857,0.0,0.0,0.205567
60,0.032637,0.32,0.0,0.0,0.16815925
