hero,score
Calico,0.208585
Ivy,0.200566
Wraith,0.195592
Mo & Krill,0.193767
Drifter,0.191691
Venator,0.190793
Lash,0.188759
Celeste,0.18586
Haze,0.185575
McGinnis,0.183344
Apollo,0.182695
Dynamo,0.180169
Seven,0.179078
Viscous,0.176991
Silver,0.175775
Pocket,0.175266
Paradox,0.174794
Vindicta,0.174219
Abrams,0.172038
Lady Geist,0.171083
The Doorman,0.170746
Victor,0.170397
Paige,0.167125
Shiv,0.165668
Warden,0.165225
Yamato,0.164595
Kelvin,0.164369
Vyper,0.164188
Mina,0.161873
Graves,0.159946
Bebop,0.156668
Infernus,0.154981
Billy,0.153469
Rem,0.15253
Grey Talon,0.150453
Sinclair,0.149261
Holliday,0.147515
Mirage,0.140588
