hero,pickrate,winrate,synergy_score,counter_score,meta_score
16,0.302654,0.543955,0.0,0.0,0.347641
20,0.248982,0.544063,0.0,0.0,0.334277
7,0.253712,0.525117,0.0,0.0,0.32598649999999996
18,0.241098,0.525341,0.0,0.0,0.322945
64,0.252726,0.512607,0.0,0.0,0.319485
65,0.261661,0.505147,0.0,0.0,0.31798875
31,0.274208,0.492094,0.0,0.0,0.31459899999999996
81,0.16982,0.534623,0.0,0.0,0.3097665
13,0.224281,0.506444,0.0,0.0,0.30929225
8,0.112863,0.554715,0.0,0.0,0.30557324999999996
77,0.209171,0.504397,0.0,0.0,0.30449125
11,0.118578,0.541274,0.0,0.0,0.30028150000000003
2,0.14755,0.523152,0.0,0.0,0.2984635
35,0.148535,0.515701,0.0,0.0,0.29498425
80,0.156747,0.507544,0.0,0.0,0.29295875
50,0.148535,0.509951,0.0,0.0,0.29210925000000004
10,0.216069,0.474612,0.0,0.0,0.29132325
3,0.15898,0.50124,0.0,0.0,0.290365
6,0.152937,0.496993,0.0,0.0,0.28673075000000003
4,0.122914,0.508819,0.0,0.0,0.285138
69,0.156747,0.49078,0.0,0.0,0.28457675
66,0.120746,0.507617,0.0,0.0,0.283995
67,0.113586,0.500289,0.0,0.0,0.278541
19,0.185784,0.459335,0.0,0.0,0.2761135
25,0.117199,0.492152,0.0,0.0,0.27537575
27,0.135199,0.48105,0.0,0.0,0.27432475
12,0.10222,0.496787,0.0,0.0,0.2739485
58,0.063592,0.515496,0.0,0.0,0.273646
63,0.142688,0.468232,0.0,0.0,0.269788
76,0.087965,0.489171,0.0,0.0,0.26657675000000003
15,0.141768,0.451344,0.0,0.0,0.261114
1,0.119827,0.456689,0.0,0.0,0.25830125
72,0.092629,0.465248,0.0,0.0,0.25578125
79,0.154119,0.431373,0.0,0.0,0.25421625000000003
17,0.075811,0.463605,0.0,0.0,0.25075525
60,0.07903,0.458022,0.0,0.0,0.2487685
14,0.069899,0.456767,0.0,0.0,0.24585825
52,0.11917,0.409041,0.0,0.0,0.234313
