hero,pickrate
1,0.119908
10,0.216032
11,0.118528
12,0.102234
13,0.224376
14,0.069908
15,0.141919
16,0.302562
17,0.075821
18,0.241064
19,0.185742
2,0.147569
20,0.248949
25,0.117148
27,0.135217
3,0.159001
31,0.274179
35,0.148555
4,0.122865
50,0.148555
52,0.119185
58,0.063601
6,0.152957
60,0.079041
63,0.142576
64,0.25276
65,0.261695
66,0.120696
67,0.113535
69,0.156767
7,0.253548
72,0.092641
76,0.087976
77,0.209264
79,0.154139
8,0.112878
80,0.156767
81,0.169842
