hero,winrate
1,0.456438
10,0.475061
11,0.54102
12,0.496787
13,0.506589
14,0.455827
15,0.450926
16,0.543974
17,0.463605
18,0.525484
19,0.45879
2,0.523598
20,0.543943
25,0.492428
27,0.48105
3,0.50124
31,0.492212
35,0.515701
4,0.508556
50,0.510394
52,0.409041
58,0.515496
6,0.497423
60,0.458022
63,0.468664
64,0.512867
65,0.504896
66,0.507893
67,0.5
69,0.49078
7,0.524747
72,0.465248
76,0.489171
77,0.504553
79,0.431373
8,0.554715
80,0.507544
81,0.534236
