hero,pickrate,winrate,synergy_score,counter_score,meta_score
16,0.302562,0.543974,0.0,0.0,0.3476275
20,0.248949,0.543943,0.0,0.0,0.33420875
7,0.253548,0.524747,0.0,0.0,0.3257605
18,0.241064,0.525484,0.0,0.0,0.32300799999999996
64,0.25276,0.512867,0.0,0.0,0.31962349999999995
65,0.261695,0.504896,0.0,0.0,0.31787175
31,0.274179,0.492212,0.0,0.0,0.31465075
81,0.169842,0.534236,0.0,0.0,0.30957850000000003
13,0.224376,0.506589,0.0,0.0,0.30938849999999996
8,0.112878,0.554715,0.0,0.0,0.305577
77,0.209264,0.504553,0.0,0.0,0.30459250000000004
11,0.118528,0.54102,0.0,0.0,0.30014199999999996
2,0.147569,0.523598,0.0,0.0,0.29869125
35,0.148555,0.515701,0.0,0.0,0.29498925
80,0.156767,0.507544,0.0,0.0,0.29296374999999997
50,0.148555,0.510394,0.0,0.0,0.29233575
10,0.216032,0.475061,0.0,0.0,0.29153850000000003
3,0.159001,0.50124,0.0,0.0,0.29037025
6,0.152957,0.497423,0.0,0.0,0.28695075000000003
4,0.122865,0.508556,0.0,0.0,0.28499425
69,0.156767,0.49078,0.0,0.0,0.28458174999999997
66,0.120696,0.507893,0.0,0.0,0.2841205
67,0.113535,0.5,0.0,0.0,0.27838375
19,0.185742,0.45879,0.0,0.0,0.2758305
25,0.117148,0.492428,0.0,0.0,0.275501
27,0.135217,0.48105,0.0,0.0,0.27432924999999997
12,0.102234,0.496787,0.0,0.0,0.273952
58,0.063601,0.515496,0.0,0.0,0.27364825
63,0.142576,0.468664,0.0,0.0,0.269976
76,0.087976,0.489171,0.0,0.0,0.2665795
15,0.141919,0.450926,0.0,0.0,0.26094275
1,0.119908,0.456438,0.0,0.0,0.258196
72,0.092641,0.465248,0.0,0.0,0.25578425
79,0.154139,0.431373,0.0,0.0,0.25422125
17,0.075821,0.463605,0.0,0.0,0.25075775
60,0.079041,0.458022,0.0,0.0,0.24877125
14,0.069908,0.455827,0.0,0.0,0.24539049999999998
52,0.119185,0.409041,0.0,0.0,0.23431675
