hero_a,hero_b,counter_score
1,2,-0.10544199999999998
1,3,-0.058730000000000004
1,4,-0.023604999999999987
1,6,0.006897000000000042
1,7,-0.07142900000000002
1,8,-0.08301199999999997
1,10,-0.07327600000000001
1,11,-0.07346000000000003
1,12,-0.019313000000000025
1,13,-0.045872000000000024
1,14,-0.117647
1,15,-0.037445000000000006
1,16,-0.104294
1,17,-0.025424000000000002
1,18,-0.08119700000000002
1,19,0.023287999999999975
1,20,-0.08834999999999998
1,25,-0.027027000000000023
1,27,-0.049800999999999984
1,31,-0.008379999999999999
1,35,-0.09677400000000003
1,50,-0.07575799999999999
1,52,0.06164400000000003
1,58,-0.117647
1,60,0.003758999999999957
1,63,0.011905000000000054
1,64,-0.024895999999999974
1,65,-0.011726999999999987
1,66,-0.07894699999999999
1,67,0.020737000000000005
1,69,-0.03114800000000001
1,72,0.06707300000000005
1,76,-0.102941
1,77,-0.081121
1,79,0.03125
1,80,-0.054717000000000016
1,81,-0.06666699999999998
2,1,0.10544200000000004
2,3,0.0
2,4,0.010902999999999996
2,6,0.020231
2,7,-0.037065000000000015
2,8,-0.01202700000000001
2,10,0.07487100000000002
2,11,0.04054100000000005
2,12,-0.004587000000000008
2,13,0.022851999999999983
2,14,0.042857000000000034
2,15,0.05974800000000002
2,16,-0.00384000000000001
2,17,0.06050999999999995
2,18,-0.014705999999999997
2,19,0.04205599999999998
2,20,0.0066230000000000455
2,25,0.03191500000000003
2,27,0.055911000000000044
2,31,0.04925400000000002
2,35,0.0
2,50,-0.009971999999999981
2,52,0.11240300000000003
2,58,0.011627999999999972
2,60,0.04594600000000004
2,63,0.08104
2,64,0.03627800000000003
2,65,-0.007396000000000014
2,66,0.0019919999999999938
2,67,0.02363599999999999
2,69,0.025468999999999964
2,72,0.04166700000000001
2,76,0.07575799999999999
2,77,0.026838999999999946
2,79,0.07452599999999998
2,80,0.008152000000000048
2,81,0.03381599999999996
3,1,0.05872999999999995
3,2,0.0
3,4,0.0013929999999999776
3,6,-0.003124999999999989
3,7,-0.02497100000000002
3,8,-0.06432700000000002
3,10,0.029915000000000025
3,11,-0.03198699999999999
3,12,-0.00931700000000002
3,13,-0.0068030000000000035
3,14,0.05865900000000002
3,15,0.01585000000000003
3,16,-0.03498899999999999
3,17,0.009009000000000045
3,18,-0.024096000000000006
3,19,0.051570000000000005
3,20,-0.03090900000000002
3,25,0.018518999999999952
3,27,0.04518999999999995
3,31,0.011415999999999982
3,35,0.0
3,50,-0.01583699999999999
3,52,0.11341900000000005
3,58,-0.01533699999999999
3,60,0.020325000000000037
3,63,-0.0011439999999999784
3,64,-0.010604000000000002
3,65,0.017804000000000042
3,66,-0.00892900000000002
3,67,0.01724099999999995
3,69,0.02444400000000002
3,72,0.00819700000000001
3,76,0.002994000000000052
3,77,-0.023529000000000022
3,79,0.07834799999999997
3,80,-0.045723000000000014
3,81,0.0
4,1,0.023604999999999987
4,2,-0.010902999999999996
4,3,-0.0013929999999999776
4,6,0.021993999999999958
4,7,0.026316000000000006
4,8,-0.09683799999999998
4,10,0.011627999999999972
4,11,-0.05416700000000002
4,12,0.012711999999999946
4,13,-0.013919000000000015
4,14,0.009434000000000053
4,15,0.03281900000000004
4,16,-0.02202900000000002
4,17,0.10465100000000005
4,18,0.005071000000000048
4,19,0.052510999999999974
4,20,-0.01739099999999999
4,25,0.015503999999999962
4,27,0.029231000000000007
4,31,0.011073
4,35,0.055215000000000014
4,50,0.012747999999999982
4,52,0.04800000000000004
4,58,0.03913
4,60,0.030055000000000054
4,63,0.03216399999999997
4,64,0.01041700000000001
4,65,-0.019525000000000015
4,66,0.005534999999999957
4,67,0.027660000000000018
4,69,0.012345999999999968
4,72,0.067164
4,76,0.006098000000000048
4,77,0.008274000000000004
4,79,0.09642899999999999
4,80,-0.03454499999999999
4,81,-0.02459
6,1,-0.0068969999999999865
6,2,-0.020231
6,3,0.0031250000000000444
6,4,-0.021994000000000014
6,7,-0.06204399999999999
6,8,-0.029167
6,10,0.04273499999999997
6,11,-0.040441000000000005
6,12,0.0019460000000000033
6,13,-0.030000000000000027
6,14,0.07594900000000004
6,15,-0.009915000000000007
6,16,-0.044987
6,17,0.04069800000000001
6,18,-0.05043199999999998
6,19,0.01020399999999999
6,20,-0.05597000000000002
6,25,0.008143000000000011
6,27,0.031447
6,31,0.01537299999999997
6,35,-0.02971600000000002
6,50,-0.025994000000000017
6,52,0.10593200000000003
6,58,-0.03378399999999998
6,60,0.024751999999999996
6,63,0.028901999999999983
6,64,0.0015020000000000033
6,65,0.006549999999999945
6,66,-0.038721000000000005
6,67,0.0
6,69,-0.009433999999999998
6,72,0.014286000000000021
6,76,-0.04545500000000002
6,77,-0.0009600000000000164
6,79,0.06756799999999996
6,80,0.0046079999999999455
6,81,-0.047119999999999995
7,1,0.07142899999999996
7,2,0.037065000000000015
7,3,0.024970999999999965
7,4,-0.026316000000000006
7,6,0.06204399999999999
7,8,-0.031669999999999976
7,10,0.03274100000000002
7,11,0.01724099999999995
7,12,0.025301000000000018
7,13,0.016537000000000024
7,14,0.07303400000000004
7,15,0.06785699999999995
7,16,-0.019498000000000015
7,17,0.09076899999999999
7,18,-0.028652999999999984
7,19,0.07142899999999996
7,20,-0.0017610000000000126
7,25,0.03251999999999999
7,27,0.02459
7,31,0.02981800000000001
7,35,0.03751899999999997
7,50,0.0006859999999999644
7,52,0.13804700000000003
7,58,0.007936999999999972
7,60,0.09327200000000002
7,63,0.047945000000000015
7,64,0.04063899999999998
7,65,0.02188599999999996
7,66,0.0037169999999999703
7,67,0.05627700000000002
7,69,0.03494600000000003
7,72,0.09302299999999997
7,76,0.004399000000000042
7,77,0.0034480000000000066
7,79,0.10472999999999999
7,80,0.012820999999999971
7,81,-0.005672999999999984
8,1,0.08301199999999997
8,2,0.01202700000000001
8,3,0.06432700000000002
8,4,0.09683799999999998
8,6,0.029167000000000054
8,7,0.031669999999999976
8,10,0.07217799999999996
8,11,0.006172999999999984
8,12,0.093607
8,13,0.04942500000000005
8,14,0.09230799999999995
8,15,0.05319099999999999
8,16,0.010790999999999995
8,17,0.15454500000000004
8,18,0.02207300000000001
8,19,0.11781600000000003
8,20,0.029962999999999962
8,25,0.05502399999999996
8,27,0.05701800000000001
8,31,0.07080600000000004
8,35,0.055921
8,50,0.09143999999999997
8,52,0.19767400000000002
8,58,-0.014286000000000021
8,60,0.09999999999999998
8,63,0.082677
8,64,0.06581999999999999
8,65,0.04663799999999996
8,66,0.025097000000000036
8,67,0.05947100000000005
8,69,0.075071
8,72,0.07615899999999998
8,76,0.031034000000000006
8,77,0.06357400000000002
8,79,0.12055300000000002
8,80,0.08149799999999996
8,81,-0.009880999999999973
10,1,0.07327600000000001
10,2,-0.07487100000000002
10,3,-0.029915000000000025
10,4,-0.011628000000000027
10,6,-0.04273500000000002
10,7,-0.03274100000000002
10,8,-0.07217800000000002
10,11,-0.033665999999999974
10,12,-0.00819700000000001
10,13,-0.0020749999999999935
10,14,0.024904000000000037
10,15,0.02575099999999997
10,16,-0.07760299999999998
10,17,0.020599000000000034
10,18,-0.06572800000000001
10,19,0.048985999999999974
10,20,-0.066946
10,25,-0.043605000000000005
10,27,-0.024625000000000008
10,31,-0.016649999999999998
10,35,-0.041071000000000024
10,50,-0.05172399999999999
10,52,0.04278099999999996
10,58,-0.04424800000000001
10,60,0.037594000000000016
10,63,0.0020919999999999828
10,64,-0.023148000000000002
10,65,-0.044242000000000004
10,66,-0.043902
10,67,0.007894999999999985
10,69,-0.015923999999999994
10,72,0.038461999999999996
10,76,0.018518999999999952
10,77,-0.049536000000000024
10,79,0.04600000000000004
10,80,-0.05748399999999998
10,81,-0.055369
11,1,0.07345999999999997
11,2,-0.040540999999999994
11,3,0.03198699999999999
11,4,0.054166999999999965
11,6,0.04044099999999995
11,7,-0.017241000000000006
11,8,-0.006172999999999984
11,10,0.033665999999999974
11,12,-0.0022220000000000018
11,13,0.022673000000000054
11,14,0.09230799999999995
11,15,0.07564599999999999
11,16,-0.03173199999999998
11,17,0.17716500000000002
11,18,0.012727000000000044
11,19,0.08707900000000002
11,20,0.005245000000000055
11,25,0.011627999999999972
11,27,0.07936500000000002
11,31,0.038012000000000046
11,35,0.03681000000000001
11,50,-0.007462999999999997
11,52,0.14680899999999997
11,58,-0.046296000000000004
11,60,0.06603800000000004
11,63,0.114286
11,64,0.032294000000000045
11,65,0.029954000000000036
11,66,0.041125999999999996
11,67,0.05140199999999995
11,69,0.06562500000000004
11,72,0.070681
11,76,0.11224500000000004
11,77,0.033140999999999976
11,79,0.11563500000000004
11,80,0.06557400000000002
11,81,-0.008896999999999988
12,1,0.019313000000000025
12,2,0.004587000000000008
12,3,0.00931700000000002
12,4,-0.012712000000000001
12,6,-0.0019460000000000033
12,7,-0.025301000000000018
12,8,-0.093607
12,10,0.00819700000000001
12,11,0.0022219999999999462
12,13,0.021604999999999985
12,14,0.06842099999999995
12,15,0.08008700000000002
12,16,-0.05254199999999998
12,17,0.05555600000000005
12,18,-0.018811999999999995
12,19,0.013433000000000028
12,20,-0.03775299999999998
12,25,0.050561999999999996
12,27,0.016908000000000034
12,31,0.011160999999999976
12,35,0.025083999999999995
12,50,-0.02173900000000001
12,52,0.102804
12,58,-0.011363999999999985
12,60,0.05395700000000003
12,63,0.03813599999999995
12,64,-0.01693
12,65,-0.03543299999999999
12,66,-0.025861999999999996
12,67,0.03773599999999999
12,69,-0.026946000000000025
12,72,0.00909099999999996
12,76,-0.033333
12,77,0.0066230000000000455
12,79,0.04752900000000004
12,80,-0.0025640000000000107
12,81,-0.0047619999999999885
13,1,0.045872000000000024
13,2,-0.022851999999999983
13,3,0.0068030000000000035
13,4,0.013919000000000015
13,6,0.030000000000000027
13,7,-0.016537000000000024
13,8,-0.049425
13,10,0.002075000000000049
13,11,-0.022673
13,12,-0.021604999999999985
13,14,0.06060600000000005
13,15,0.051019999999999954
13,16,-0.05499999999999999
13,17,0.042254000000000014
13,18,-0.03222799999999998
13,19,0.05835999999999997
13,20,-0.05011399999999999
13,25,0.05525599999999997
13,27,0.03977299999999995
13,31,0.013352999999999948
13,35,0.0010620000000000074
13,50,0.022685999999999984
