hero_a,hero_b,winrate,games
15,76,0.408377,191
15,77,0.429501,461
15,79,0.512422,322
15,8,0.446809,235
15,80,0.430818,318
15,81,0.4375,368
16,1,0.604294,652
16,10,0.577603,1018
16,11,0.531732,583
16,12,0.552542,590
16,13,0.555,1200
16,14,0.559006,322
16,15,0.610749,614
16,17,0.541787,347
16,18,0.513514,1258
16,19,0.577916,1123
16,2,0.50384,651
16,20,0.503238,1081
16,25,0.543548,620
16,27,0.541507,783
16,3,0.534989,886
16,31,0.537121,1320
16,35,0.522427,758
16,4,0.522029,749
16,50,0.527881,807
16,52,0.645469,629
16,58,0.506536,306
16,6,0.544987,778
16,60,0.587838,444
16,63,0.565585,709
16,64,0.538941,1284
16,65,0.519044,1339
16,66,0.539281,751
16,67,0.538951,629
16,69,0.553066,848
16,7,0.519498,1513
16,72,0.578189,486
16,76,0.518414,353
16,77,0.524779,1130
16,79,0.589809,785
16,8,0.489209,556
16,80,0.52549,765
16,81,0.504624,757
17,1,0.525424,118
17,10,0.479401,267
17,11,0.322835,127
17,12,0.444444,108
17,13,0.457746,284
17,14,0.546512,86
17,15,0.489362,188
17,16,0.458213,347
17,18,0.44,225
17,19,0.451327,226
17,2,0.43949,157
17,20,0.437063,286
17,25,0.4,100
17,27,0.513699,146
17,3,0.490991,222
17,31,0.461326,362
17,35,0.459627,161
17,4,0.395349,172
17,50,0.44586,157
17,52,0.523364,107
17,58,0.471429,70
17,6,0.459302,172
17,60,0.526316,95
17,63,0.481013,158
17,64,0.429043,303
17,65,0.501608,311
17,66,0.5,146
17,67,0.415493,142
17,69,0.425,200
17,7,0.409231,325
17,72,0.561224,98
17,76,0.427184,103
17,77,0.485075,268
17,79,0.505102,196
17,8,0.345455,110
17,80,0.466346,208
17,81,0.465116,215
18,1,0.581197,468
18,10,0.565728,852
18,11,0.487273,550
18,12,0.518812,505
18,13,0.532228,543
18,14,0.56,275
18,15,0.564322,583
18,16,0.486486,1258
18,17,0.56,225
18,19,0.550998,902
18,2,0.514706,544
18,20,0.479113,1173
18,25,0.522158,519
18,27,0.554054,592
18,3,0.524096,664
18,31,0.534191,1243
18,35,0.52459,793
18,4,0.494929,493
18,50,0.520755,530
18,52,0.62203,463
18,58,0.489083,229
18,6,0.550432,694
18,60,0.570934,289
18,63,0.555799,457
18,64,0.549395,992
18,65,0.532121,825
18,66,0.506998,643
18,67,0.526316,494
18,69,0.53125,736
18,7,0.528653,698
18,72,0.576923,416
18,76,0.515823,316
18,77,0.493927,741
18,79,0.61171,649
18,8,0.477927,521
18,80,0.533074,514
18,81,0.493827,567
19,1,0.476712,365
19,10,0.451014,592
19,11,0.412921,356
19,12,0.486567,335
19,13,0.44164,634
19,14,0.482517,143
19,15,0.560606,462
19,16,0.422084,1123
19,17,0.548673,226
19,18,0.449002,902
19,2,0.457944,428
19,20,0.426761,710
19,25,0.486702,376
19,27,0.452874,435
19,3,0.44843,446
19,31,0.476246,863
19,35,0.426991,452
19,4,0.447489,438
19,50,0.49642,419
19,52,0.57329,307
19,58,0.443878,196
19,6,0.489796,490
19,60,0.54359,195
19,63,0.48072,389
19,64,0.470803,822
19,65,0.462217,794
19,66,0.447293,351
19,67,0.446154,260
