hero_a,hero_b,synergy_score,games
16,60,0.498316,297
16,63,0.495833,720
16,64,0.545961,1077
16,65,0.553801,1013
16,66,0.598086,418
16,67,0.521614,347
16,69,0.54902,765
16,7,0.584718,1204
16,72,0.484293,382
16,76,0.526646,319
16,77,0.555091,717
16,79,0.413093,443
16,8,0.610493,629
16,80,0.546218,476
16,81,0.560122,657
17,18,0.514451,346
17,19,0.397436,234
17,2,0.526786,112
17,20,0.46696,227
17,25,0.469799,149
17,27,0.504,125
17,3,0.428571,126
17,31,0.448387,310
17,35,0.462585,147
17,4,0.495726,117
17,50,0.432836,134
17,52,0.445783,83
17,58,0.428571,49
17,6,0.477612,201
17,60,0.5,90
17,63,0.388889,108
17,64,0.494253,261
17,65,0.48,200
17,66,0.428571,140
17,67,0.471545,123
17,69,0.492857,140
17,7,0.486188,181
17,72,0.393443,122
17,76,0.444444,63
17,77,0.473684,228
17,79,0.343511,131
17,8,0.578947,95
17,80,0.390625,128
17,81,0.503546,141
18,19,0.472,375
18,2,0.556439,629
18,20,0.585034,735
18,25,0.537736,212
18,27,0.515625,384
18,3,0.531025,693
18,31,0.534851,703
18,35,0.56051,314
18,4,0.539256,484
18,50,0.549422,779
18,52,0.404472,492
18,58,0.528,250
18,6,0.517413,201
18,60,0.436893,206
18,63,0.519836,731
18,64,0.54399,807
18,65,0.533101,1148
18,66,0.551724,261
18,67,0.564246,179
18,69,0.512881,427
18,7,0.550353,1559
18,72,0.534759,187
18,76,0.557769,251
18,77,0.55461,705
18,79,0.460784,204
18,8,0.581081,370
18,80,0.514523,482
18,81,0.550173,578
19,2,0.468683,463
19,20,0.518148,799
19,25,0.531915,141
19,27,0.400862,232
19,3,0.457407,540
19,31,0.437209,645
19,35,0.458084,334
19,4,0.509506,263
19,50,0.459794,485
19,52,0.340351,285
19,58,0.478873,142
19,6,0.429787,235
19,60,0.460123,326
19,63,0.430155,451
19,64,0.479612,515
19,65,0.452579,601
19,66,0.431138,167
19,67,0.455399,426
19,69,0.476489,638
19,7,0.510638,752
19,72,0.418033,122
19,76,0.408257,218
19,77,0.467442,430
19,79,0.411348,564
19,8,0.546875,320
19,80,0.444444,279
19,81,0.491358,405
2,20,0.560322,373
2,25,0.543333,300
2,27,0.477273,308
2,3,0.527778,252
2,31,0.516129,589
2,35,0.552542,295
2,4,0.564394,264
2,50,0.513043,230
2,52,0.418367,196
2,58,0.541667,120
2,6,0.5,476
2,60,0.542484,153
2,63,0.540816,196
2,64,0.517578,512
2,65,0.558758,451
2,66,0.544643,336
2,67,0.451163,215
2,69,0.528689,244
2,7,0.560102,391
2,72,0.493213,221
2,76,0.51875,160
2,77,0.533019,424
2,79,0.484177,316
2,8,0.584615,195
2,80,0.544944,356
2,81,0.526667,300
20,25,0.525773,485
20,27,0.513566,516
20,3,0.564257,498
20,31,0.520362,884
20,35,0.54898,490
20,4,0.546191,617
20,50,0.582485,491
20,52,0.426434,401
20,58,0.571429,168
20,6,0.550388,516
20,60,0.53012,249
20,63,0.490644,481
20,64,0.550588,850
20,65,0.554974,955
20,66,0.55292,548
20,67,0.484211,285
20,69,0.595238,462
20,7,0.58756,1045
20,72,0.516779,298
20,76,0.524038,208
20,77,0.554569,788
20,79,0.44898,343
20,8,0.569863,365
20,80,0.540541,555
20,81,0.581522,552
25,27,0.522727,132
25,3,0.498452,323
25,31,0.476309,401
25,35,0.50289,173
25,4,0.487342,158
25,50,0.525773,291
25,52,0.390374,187
25,58,0.516854,89
25,6,0.487805,123
25,60,0.409326,193
25,63,0.467857,280
25,64,0.462006,329
25,65,0.494505,364
25,66,0.476744,86
25,67,0.484211,285
25,69,0.479784,371
25,7,0.536585,451
25,72,0.387097,62
25,76,0.539007,141
25,77,0.507519,266
25,79,0.461957,368
25,8,0.528302,212
25,80,0.467836,171
25,81,0.509881,253
27,3,0.491573,356
27,31,0.468627,510
27,35,0.52381,252
27,4,0.446237,186
27,50,0.491961,311
27,52,0.367089,237
27,58,0.596491,114
27,6,0.414773,176
27,60,0.449275,207
27,63,0.464407,295
27,64,0.47013,385
27,65,0.51049,429
27,66,0.544379,169
27,67,0.516981,265
27,69,0.488739,444
27,7,0.488,500
27,72,0.425,120
27,76,0.531469,143
27,77,0.478689,305
27,79,0.371014,345
27,8,0.530612,245
27,80,0.495798,238
27,81,0.547771,314
3,31,0.48688,686
3,35,0.539906,426
3,4,0.5,340
3,50,0.525547,274
3,52,0.394309,246
3,58,0.547368,95
3,6,0.466346,416
3,60,0.39726,146
3,63,0.463203,231
3,64,0.505263,570
3,65,0.504098,488
3,66,0.564304,381
3,67,0.460674,178
3,69,0.534653,303
3,7,0.537849,502
3,72,0.431227,269
3,76,0.516129,186
3,77,0.5,448
3,79,0.384921,252
3,8,0.588235,238
3,80,0.532468,308
3,81,0.526163,344
31,35,0.541109,523
31,4,0.506958,503
31,50,0.5,620
31,52,0.403118,449
31,58,0.548523,237
31,6,0.496403,556
31,60,0.46063,254
31,63,0.432432,592
31,64,0.489,1000
31,65,0.499484,969
31,66,0.494975,398
31,67,0.44697,396
31,69,0.449136,521
31,7,0.516832,1010
31,72,0.45625,320
31,76,0.490446,314
31,77,0.526932,854
31,79,0.420732,492
31,8,0.545455,440
31,80,0.517117,555
31,81,0.523324,686
35,4,0.49481,289
35,50,0.501425,351
35,52,0.368201,239
35,58,0.543307,127
35,6,0.458333,192
35,60,0.418301,153
35,63,0.484177,316
35,64,0.494424,538
35,65,0.486063,574
35,66,0.587444,223
35,67,0.480519,231
35,69,0.484594,357
35,7,0.530201,745
35,72,0.431818,132
35,76,0.487179,156
35,77,0.566416,399
35,79,0.420863,278
35,8,0.542308,260
35,80,0.5,288
35,81,0.564565,333
4,50,0.513619,257
4,52,0.391534,189
4,58,0.545455,99
4,6,0.543568,241
4,60,0.446541,159
4,63,0.478431,255
4,64,0.510067,447
4,65,0.513784,399
4,66,0.545455,176
4,67,0.549296,213
4,69,0.518634,322
4,7,0.538813,438
4,72,0.456693,127
4,76,0.506944,144
4,77,0.539877,326
4,79,0.415225,289
4,8,0.579186,221
4,80,0.475806,248
4,81,0.50365,274
50,52,0.43617,188
50,58,0.56,100
50,6,0.491003,389
50,60,0.489362,141
50,63,0.470046,217
50,64,0.496183,524
50,65,0.509383,373
50,66,0.544828,290
50,67,0.535865,237
50,69,0.458333,312
50,7,0.57907,430
50,72,0.461207,232
50,76,0.418182,110
50,77,0.514851,404
50,79,0.456954,302
50,8,0.507692,195
50,80,0.532751,229
50,81,0.498054,257
52,58,0.440476,84
52,6,0.435556,225
52,60,0.442029,138
52,63,0.36612,183
52,64,0.379052,401
52,65,0.376119,335
52,66,0.42381,210
52,67,0.37931,232
52,69,0.383333,300
52,7,0.41994,331
52,72,0.381944,144
52,76,0.383838,99
52,77,0.416667,300
52,79,0.329317,249
52,8,0.458537,205
52,80,0.442149,242
52,81,0.484848,198
58,6,0.488722,133
58,60,0.45614,57
58,63,0.586538,104
58,64,0.510309,194
58,65,0.493333,225
58,66,0.5,122
58,67,0.552,125
58,69,0.55102,147
58,7,0.535714,168
58,72,0.491228,57
58,76,0.5625,96
58,77,0.636872,179
58,79,0.468571,175
58,8,0.56701,97
58,80,0.558559,111
58,81,0.546218,119
6,60,0.452381,168
6,63,0.44709,378
6,64,0.482609,460
6,65,0.508651,578
6,66,0.470588,119
6,67,0.444043,277
6,69,0.510417,384
6,7,0.505963,587
6,72,0.5,120
6,76,0.525346,217
6,77,0.509284,377
6,79,0.439803,407
6,8,0.516854,267
6,80,0.505226,287
6,81,0.541114,377
60,63,0.410072,139
60,64,0.481481,297
60,65,0.462963,324
60,66,0.449074,216
60,67,0.482143,56
60,69,0.434783,115
60,7,0.403361,238
60,72,0.457364,129
60,76,0.445946,74
60,77,0.514184,282
60,79,0.3125,48
60,8,0.528846,104
60,80,0.435754,179
60,81,0.443038,158
63,64,0.481236,453
63,65,0.488263,426
63,66,0.483019,265
63,67,0.432099,243
63,69,0.440433,277
63,7,0.532394,355
63,72,0.431535,241
63,76,0.430894,123
63,77,0.473301,412
63,79,0.389058,329
63,8,0.524272,206
63,80,0.447099,293
63,81,0.498008,251
64,65,0.535179,867
64,66,0.49711,346
64,67,0.538278,418
64,69,0.483051,590
64,7,0.516687,809
64,72,0.47191,267
64,76,0.507937,252
64,77,0.520509,707
64,79,0.437177,581
64,8,0.55665,406
64,80,0.528846,520
64,81,0.549195,559
65,66,0.471354,384
65,67,0.498162,544
65,69,0.50081,617
65,7,0.519544,614
65,72,0.449541,327
65,76,0.512658,316
65,77,0.540146,685
65,79,0.432792,677
65,8,0.588384,396
65,80,0.520325,492
65,81,0.56705,522
66,67,0.491857,307
66,69,0.520362,442
66,7,0.543233,532
66,72,0.521127,71
66,76,0.535211,142
66,77,0.46473,241
66,79,0.425824,364
66,8,0.569721,251
66,80,0.512048,166
66,81,0.53012,249
67,69,0.54878,82
67,7,0.496386,415
67,72,0.479821,223
67,76,0.506849,146
67,77,0.5,344
67,79,0.44898,49
67,8,0.522936,109
67,80,0.51004,249
67,81,0.539062,256
69,7,0.537037,648
69,72,0.454849,299
69,76,0.462963,162
69,77,0.509434,530
69,79,0.366337,101
69,8,0.540909,220
69,80,0.498498,333
69,81,0.524917,301
7,72,0.502358,424
7,76,0.532995,197
7,77,0.517413,603
7,79,0.454175,491
7,8,0.584906,477
7,80,0.517073,410
7,81,0.528889,450
72,76,0.435897,117
72,77,0.484305,223
72,79,0.408638,301
72,8,0.487013,154
72,80,0.470238,168
72,81,0.47027,185
76,77,0.462882,229
76,79,0.455696,158
76,8,0.554622,119
76,80,0.521053,190
76,81,0.5,188
77,79,0.455621,507
77,8,0.589506,324
77,80,0.492063,441
77,81,0.518047,471
79,8,0.455224,134
79,80,0.473282,393
79,81,0.517134,321
8,80,0.535398,226
8,81,0.597345,226
80,81,0.534211,380
