match_id,team_a_strength_score,team_b_strength_score
54064095,0.0,14.0
54072029,0.0,14.0
54100766,0.0,14.0
54113812,0.0,14.0
54131329,0.0,14.0
54167613,0.0,14.0
54720330,0.0,14.0
54737256,0.0,14.0
55698789,0.0,14.0
58482085,0.0,14.0
59770965,0.0,14.0
61327529,0.0,14.0
62333177,0.0,14.0
63426260,0.0,14.0
63593247,0.0,14.0
63632006,0.0,14.0
63657500,0.0,14.0
63762021,0.0,14.0
63963181,0.0,14.0
63973109,0.0,14.0
64140455,0.0,14.0
64149144,0.0,14.0
64167694,0.0,14.0
64177208,0.0,14.0
64449466,0.0,14.0
64451883,0.0,14.0
64468238,0.0,14.0
64576753,0.0,14.0
64637765,0.0,14.0
64691282,0.0,14.0
64725996,0.0,14.0
65080759,0.0,14.0
65448257,0.0,14.0
65895698,0.0,14.0
65899379,0.0,14.0
65907972,0.0,14.0
65915238,0.0,14.0
65924297,0.0,14.0
65933823,0.0,14.0
66002919,0.0,14.0
66028513,0.0,14.0
66035582,0.0,14.0
66040973,0.0,14.0
66050319,0.0,14.0
66063656,0.0,14.0
66078297,0.0,14.0
66090551,0.0,14.0
66117756,0.0,14.0
66118459,0.0,14.0
66136986,0.0,14.0
66137911,0.0,14.0
66149493,0.0,14.0
66162868,0.0,14.0
66269730,0.0,14.0
66311629,0.0,14.0
66320508,0.0,14.0
66337014,0.0,14.0
66362400,0.0,14.0
66363018,0.0,14.0
66371404,0.0,14.0
66438175,0.0,14.0
66439474,0.0,14.0
66451668,0.0,14.0
66452478,0.0,14.0
66458979,0.0,14.0
66464253,0.0,14.0
66466011,0.0,14.0
66470989,0.0,14.0
66541177,0.0,14.0
66545535,0.0,14.0
66605413,0.0,14.0
66613089,0.0,14.0
66627024,0.0,14.0
66632671,0.0,14.0
66633125,0.0,14.0
66637540,0.0,14.0
66649546,0.0,14.0
66662746,0.0,14.0
66674688,0.0,14.0
66676112,0.0,14.0
66698756,0.0,14.0
66714348,0.0,14.0
66724705,0.0,14.0
66727476,0.0,14.0
