hero_a,hero_b,synergy_score,games
1,10,0.777778,9
1,11,0.333333,12
1,12,0.666667,6
1,13,0.818182,11
1,14,1.0,1
1,15,0.222222,9
1,16,0.5,10
1,17,0.571429,7
1,18,0.666667,15
1,19,0.5,4
1,2,0.0,3
1,20,0.75,8
1,25,0.571429,7
1,27,0.5,4
1,3,0.333333,9
1,31,0.571429,7
1,35,0.714286,7
1,4,0.3,10
1,50,0.5,4
1,52,0.5,4
1,58,0.4,5
1,6,0.571429,7
1,60,0.142857,7
1,63,0.666667,9
1,64,0.4,10
1,65,0.555556,9
1,66,0.5,2
1,67,0.526316,19
1,69,0.6875,16
1,7,0.625,16
1,72,0.5,6
1,76,0.5,8
1,77,0.666667,6
1,79,0.380952,21
1,8,0.333333,3
1,80,0.5,6
1,81,0.4,5
10,11,0.4,10
10,12,0.5,2
10,13,0.4,15
10,15,0.454545,11
10,16,0.666667,9
10,17,0.4,5
10,18,0.545455,11
10,19,0.111111,9
10,2,0.285714,7
10,20,0.666667,9
10,25,0.6,5
10,27,0.2,5
10,3,0.333333,3
10,31,0.428571,7
10,35,0.285714,7
10,4,0.571429,14
10,50,0.0,4
10,52,0.333333,6
10,58,0.333333,6
10,6,0.333333,9
10,60,0.2,5
10,63,0.692308,13
10,64,0.5625,16
10,65,0.444444,9
10,66,0.6,10
10,67,0.5,6
10,69,0.5,8
10,7,0.6,10
10,72,0.4,5
10,76,0.454545,11
10,77,0.4,10
10,79,0.363636,11
10,8,0.0,2
10,80,0.5,2
10,81,0.25,8
11,12,1.0,2
11,13,0.833333,12
11,15,0.363636,11
11,16,0.666667,15
11,17,0.0,2
11,18,1.0,5
11,19,0.3,10
11,2,0.454545,11
11,20,0.6,5
11,25,0.333333,3
11,27,0.4,5
11,3,0.285714,7
11,31,0.2,5
11,35,0.428571,7
11,4,0.75,8
11,50,0.333333,6
11,52,0.666667,3
11,58,0.571429,7
11,6,0.2,5
11,60,0.0,2
11,63,0.5,12
11,64,0.4,5
11,65,0.533333,15
11,66,0.428571,7
11,67,0.666667,9
11,69,0.166667,6
11,7,0.466667,15
11,72,0.5,2
11,76,0.578947,19
11,77,0.5,10
11,79,0.5,8
11,8,1.0,2
11,80,0.5,10
11,81,0.307692,13
12,13,0.5,20
12,15,0.333333,9
12,16,0.0,6
12,17,0.5,2
12,18,0.5,6
12,2,0.428571,7
12,20,0.0,2
12,25,0.666667,3
12,27,0.75,4
12,3,0.5,8
12,31,0.333333,3
12,35,1.0,1
12,4,0.333333,3
12,50,0.0,3
12,52,0.333333,3
12,58,0.571429,7
12,6,0.25,4
12,60,1.0,1
12,63,0.2,10
12,64,0.4,5
12,65,0.666667,12
12,66,0.25,4
12,67,0.0,2
12,69,1.0,5
12,7,0.6,5
12,72,0.5,2
12,76,0.3,10
12,77,0.6,5
12,79,0.571429,7
12,8,0.75,4
12,80,0.2,5
12,81,0.333333,3
13,14,0.5,4
13,15,0.285714,21
13,16,0.55,20
13,17,0.333333,3
13,18,0.62963,27
13,19,0.5,14
13,2,0.5,14
13,20,0.615385,26
13,25,0.5,6
13,27,0.666667,9
13,3,0.666667,12
13,31,0.363636,11
13,35,0.5,14
13,4,0.6,10
13,50,0.8,5
13,52,1.0,1
13,58,0.555556,9
13,6,0.666667,12
13,60,0.333333,6
13,63,0.714286,7
13,64,0.375,16
13,65,0.526316,19
13,66,0.647059,17
13,67,0.538462,13
13,69,0.5625,16
13,7,0.625,8
13,72,0.4375,16
13,76,0.55,20
13,77,0.333333,9
13,79,0.590909,22
13,8,0.625,8
13,80,0.625,8
13,81,0.444444,9
14,15,0.5,2
14,16,0.75,4
14,17,1.0,2
14,18,1.0,1
14,19,1.0,4
14,2,1.0,2
14,20,0.0,1
14,25,1.0,1
14,27,0.5,2
14,3,0.5,2
14,35,0.666667,3
14,4,0.8,5
14,50,0.5,2
14,6,0.5,2
14,60,1.0,1
14,63,1.0,2
14,64,0.5,4
14,65,1.0,3
14,66,1.0,3
14,67,1.0,2
14,69,1.0,2
14,7,1.0,2
14,72,1.0,2
14,76,0.714286,7
14,77,1.0,2
14,79,1.0,2
14,8,0.666667,3
14,80,0.8,5
14,81,0.0,1
15,16,0.444444,18
15,17,0.0,2
15,18,0.2,5
15,19,0.0,5
15,2,0.222222,18
15,20,0.461538,13
15,25,0.4,5
15,27,0.4,10
15,3,0.272727,11
15,31,0.4,10
15,35,0.4,5
15,4,0.6,10
15,50,0.5,4
15,52,0.333333,3
15,58,0.230769,13
15,6,0.545455,11
15,60,1.0,1
15,63,0.6,10
15,64,0.636364,11
15,65,0.357143,14
15,66,0.428571,7
15,67,0.333333,12
15,69,0.6,10
15,7,0.5,4
15,72,0.428571,7
15,76,0.428571,21
15,77,0.375,8
15,79,0.4,15
15,8,0.4,5
15,80,0.571429,7
15,81,0.4,5
16,17,0.333333,3
16,18,0.714286,14
16,19,1.0,4
16,2,0.583333,12
16,20,0.619048,21
16,25,0.2,5
16,27,0.75,4
16,3,0.571429,14
16,31,0.5,8
16,35,0.454545,11
16,4,0.6,5
16,50,0.9,10
16,52,0.5,2
16,58,0.857143,7
16,6,0.5,4
16,60,1.0,1
16,63,0.5,16
16,64,0.4,15
16,65,0.466667,15
16,66,0.888889,9
16,67,0.6,15
16,69,0.727273,11
16,7,0.533333,15
16,72,0.428571,7
16,76,0.555556,18
16,77,0.555556,9
16,79,0.583333,12
16,8,0.6,5
16,80,0.555556,9
16,81,0.333333,9
17,18,0.461538,13
17,19,0.0,2
17,2,0.0,1
17,20,0.4,5
17,25,0.4,5
17,27,0.333333,3
17,3,0.0,1
17,31,0.25,4
17,35,0.0,3
17,4,0.666667,6
17,50,0.0,1
17,52,0.5,2
17,58,0.0,1
17,6,0.0,4
17,60,0.5,2
17,63,0.5,4
17,64,0.0,3
17,65,0.333333,6
17,66,0.8,5
17,67,0.625,8
17,69,0.571429,7
17,7,0.4,5
17,72,0.333333,3
17,76,0.333333,3
17,77,0.0,2
17,79,0.0,5
17,8,0.0,1
17,80,0.666667,3
17,81,0.25,4
18,19,0.666667,3
18,2,0.642857,14
18,20,0.769231,13
18,25,0.333333,3
18,27,0.0,2
18,3,0.857143,7
18,31,0.666667,6
18,35,0.555556,9
18,4,0.666667,15
18,50,0.666667,12
18,52,0.6,5
18,58,0.5,4
18,6,0.5,6
18,60,0.333333,3
18,63,0.7,20
18,64,0.461538,13
18,65,0.571429,28
18,66,0.5,6
18,67,0.7,10
18,69,0.416667,12
18,7,0.703704,27
18,72,0.5,6
18,76,0.538462,13
18,77,0.5,6
18,79,0.666667,6
18,8,0.555556,9
18,80,0.666667,6
18,81,0.571429,7
19,2,0.571429,7
19,20,0.625,8
19,25,0.666667,3
19,27,0.333333,3
19,3,0.444444,9
19,31,0.0,7
19,35,0.5,2
19,4,0.333333,6
19,50,0.5,4
19,52,0.25,4
19,58,0.0,1
19,6,0.5,4
19,60,0.333333,6
19,63,0.428571,7
19,64,0.8,5
19,65,0.444444,9
19,66,0.75,4
19,67,0.571429,14
19,69,0.3,10
19,7,0.5,6
19,72,0.0,2
19,76,0.4,10
19,77,0.25,4
19,79,0.4,15
19,8,0.25,4
19,80,0.285714,7
19,81,0.2,5
2,20,0.416667,12
2,25,0.142857,7
2,27,0.4,5
2,3,0.333333,3
2,31,0.428571,7
2,35,0.428571,7
2,4,0.666667,6
2,50,0.5,2
2,52,1.0,2
2,58,0.4,5
2,6,0.666667,9
2,60,1.0,1
2,63,0.25,8
2,64,0.5,8
2,65,0.625,8
2,66,0.384615,13
2,67,0.571429,14
2,69,0.25,12
2,7,0.8,5
2,72,0.125,8
2,76,0.571429,14
2,77,0.461538,13
2,79,0.5,18
2,8,0.375,8
2,80,0.4,10
2,81,0.285714,7
