hero,score
Holliday,0.232741
Lady Geist,0.201749
Mo & Krill,0.196923
Victor,0.195372
Wraith,0.187143
Calico,0.184619
Ivy,0.184505
Haze,0.184424
Paige,0.180735
McGinnis,0.176868
Venator,0.176062
The Doorman,0.167369
Graves,0.167024
Infernus,0.16698
Silver,0.16653
Mina,0.166016
Rem,0.165674
Pocket,0.161008
Viscous,0.158043
Dynamo,0.156749
Vindicta,0.15315
Paradox,0.148842
Apollo,0.146749
Drifter,0.146565
Kelvin,0.145083
Seven,0.143783
Abrams,0.142145
Warden,0.141652
Yamato,0.140383
Mirage,0.13862
Lash,0.138352
Shiv,0.136863
Billy,0.136863
Bebop,0.132213
Celeste,0.131337
Vyper,0.130187
Grey Talon,0.12334
Sinclair,0.100896
