hero,winrate
1,0.452951
10,0.475628
11,0.536769
12,0.5
13,0.507532
14,0.459155
15,0.448624
16,0.542414
17,0.459087
18,0.53058
19,0.460825
2,0.526225
20,0.542929
25,0.493882
27,0.480471
3,0.501538
31,0.49425
35,0.508149
4,0.510155
50,0.509962
52,0.401523
58,0.520619
6,0.492084
60,0.453815
63,0.469965
64,0.504907
65,0.505871
66,0.51307
67,0.488055
69,0.492714
7,0.528696
72,0.461057
76,0.498801
77,0.512981
79,0.427753
8,0.558384
80,0.505667
81,0.525977
