hero,pickrate
1,0.120392
10,0.211406
11,0.11924
12,0.107527
13,0.220942
14,0.068164
15,0.139529
16,0.313876
17,0.074309
18,0.24488
19,0.186252
2,0.148874
20,0.253456
25,0.115079
27,0.136009
3,0.166411
31,0.272721
35,0.153162
4,0.13236
50,0.150986
52,0.11764
58,0.062084
6,0.149578
60,0.079685
63,0.144905
64,0.247824
65,0.256208
66,0.124872
67,0.112519
69,0.162506
7,0.263185
72,0.092038
76,0.080069
77,0.204621
79,0.145289
8,0.115655
80,0.146825
81,0.158922
