match_id,team_a_strength_score,team_b_strength_score
63554095,14.0,14.0
63554850,14.0,14.0
63556337,14.0,14.0
63557295,14.0,14.0
63558107,14.0,14.0
63558208,14.0,14.0
63558991,14.0,14.0
63559660,14.0,14.0
63560042,14.0,14.0
63560741,14.0,14.0
63561154,14.0,14.0
63561609,14.0,14.0
63561903,14.0,14.0
63562807,14.0,14.0
63563162,14.0,14.0
63564193,14.0,14.0
63565066,14.0,14.0
63565371,14.0,14.0
63566178,14.0,14.0
63566732,14.0,14.0
63566825,14.0,14.0
63567706,14.0,14.0
63568447,14.0,14.0
63568821,14.0,14.0
63569326,14.0,14.0
63569416,14.0,14.0
63570770,14.0,14.0
63570801,14.0,14.0
63570902,14.0,14.0
63572035,14.0,14.0
63572879,14.0,14.0
63573592,14.0,14.0
63573862,14.0,14.0
63575077,14.0,14.0
63575302,14.0,14.0
63576111,14.0,14.0
63576981,14.0,14.0
63577124,14.0,14.0
63577215,14.0,14.0
63577743,14.0,14.0
63578355,14.0,14.0
63579351,14.0,14.0
63579816,14.0,14.0
63580179,14.0,14.0
63580559,14.0,14.0
63580854,14.0,14.0
63581017,14.0,14.0
63581841,14.0,14.0
63582541,14.0,14.0
63582902,14.0,14.0
63583697,14.0,14.0
63584032,14.0,14.0
63584280,14.0,14.0
63585137,14.0,14.0
63586143,14.0,14.0
63586211,14.0,14.0
63586294,14.0,14.0
63586349,14.0,14.0
63587527,14.0,14.0
63587981,14.0,14.0
63588364,14.0,14.0
63589375,14.0,14.0
63589745,14.0,14.0
63589777,14.0,14.0
63590308,14.0,14.0
63591978,14.0,14.0
63592325,14.0,14.0
63592989,14.0,14.0
63593847,14.0,14.0
63594343,14.0,14.0
63595260,14.0,14.0
63595736,14.0,14.0
63596958,14.0,14.0
63597889,14.0,14.0
63599158,14.0,14.0
63599812,14.0,14.0
63600035,14.0,14.0
63600529,14.0,14.0
63600920,14.0,14.0
63601626,14.0,14.0
63602109,14.0,14.0
63602353,14.0,14.0
63603525,14.0,14.0
63603958,14.0,14.0
63604595,14.0,14.0
63606164,14.0,14.0
63606166,14.0,14.0
63607396,14.0,14.0
63608606,14.0,14.0
63608646,14.0,14.0
63610240,14.0,14.0
63610582,14.0,14.0
63610880,14.0,14.0
63611202,14.0,14.0
63611448,14.0,14.0
63611507,14.0,14.0
63612384,14.0,14.0
63613149,14.0,14.0
63613833,14.0,14.0
63615760,14.0,14.0
63616005,14.0,14.0
63616599,14.0,14.0
63617335,14.0,14.0
63617386,14.0,14.0
63618027,14.0,14.0
63618533,14.0,14.0
63619042,14.0,14.0
63620275,14.0,14.0
63621642,14.0,14.0
63621824,14.0,14.0
63621883,14.0,14.0
63622093,14.0,14.0
63623157,14.0,14.0
63624589,14.0,14.0
63625322,14.0,14.0
63625798,14.0,14.0
63626010,14.0,14.0
63626906,14.0,14.0
63627178,14.0,14.0
63627586,14.0,14.0
63627962,14.0,14.0
63628489,14.0,14.0
63629477,14.0,14.0
63630087,14.0,14.0
63630895,14.0,14.0
63631228,14.0,14.0
63631416,14.0,14.0
63631795,14.0,14.0
63633331,14.0,14.0
63633486,14.0,14.0
63633612,14.0,14.0
63634320,14.0,14.0
63635279,14.0,14.0
63635392,14.0,14.0
63635716,14.0,14.0
63637345,14.0,14.0
63637917,14.0,14.0
63638098,14.0,14.0
63638589,14.0,14.0
63639492,14.0,14.0
63639567,14.0,14.0
