hero_a,hero_b,synergy_score,games
16,6,0.54262,481
16,60,0.518116,276
16,63,0.493939,660
16,64,0.550823,1033
16,65,0.557068,955
16,66,0.597368,380
16,67,0.523077,325
16,69,0.556188,703
16,7,0.578139,1107
16,72,0.494505,364
16,76,0.522152,316
16,77,0.558997,678
16,79,0.405213,422
16,8,0.601027,584
16,80,0.542857,455
16,81,0.577573,651
17,18,0.5,330
17,19,0.416309,233
17,2,0.522936,109
17,20,0.471616,229
17,25,0.458065,155
17,27,0.511811,127
17,3,0.427273,110
17,31,0.416404,317
17,35,0.465753,146
17,4,0.479592,98
17,50,0.423077,130
17,52,0.390805,87
17,58,0.464286,56
17,6,0.502439,205
17,60,0.5,90
17,63,0.414141,99
17,64,0.492806,278
17,65,0.488372,215
17,66,0.42963,135
17,67,0.451613,124
17,69,0.488189,127
17,7,0.466667,165
17,72,0.409836,122
17,76,0.458333,72
17,77,0.441667,240
17,79,0.360544,147
17,8,0.533333,90
17,80,0.390411,146
17,81,0.527607,163
18,19,0.456583,357
18,2,0.55058,603
18,20,0.575758,693
18,25,0.556098,205
18,27,0.513736,364
18,3,0.525191,655
18,31,0.531664,679
18,35,0.552542,295
18,4,0.550827,423
18,50,0.5513,731
18,52,0.414286,490
18,58,0.495763,236
18,6,0.507937,189
18,60,0.435233,193
18,63,0.513081,688
18,64,0.54488,791
18,65,0.521622,1110
18,66,0.552419,248
18,67,0.56213,169
18,69,0.506361,393
18,7,0.546201,1461
18,72,0.522727,176
18,76,0.543651,252
18,77,0.529412,680
18,79,0.454545,209
18,8,0.579251,347
18,80,0.511156,493
18,81,0.552721,588
19,2,0.466063,442
19,20,0.520368,761
19,25,0.541353,133
19,27,0.408257,218
19,3,0.465587,494
19,31,0.42926,622
19,35,0.472313,307
19,4,0.5,238
19,50,0.451613,465
19,52,0.358423,279
19,58,0.489655,145
19,6,0.425234,214
19,60,0.451411,319
19,63,0.418014,433
19,64,0.492337,522
19,65,0.45409,599
19,66,0.417178,163
19,67,0.463529,425
19,69,0.474632,611
19,7,0.511429,700
19,72,0.418803,117
19,76,0.399142,233
19,77,0.460621,419
19,79,0.404332,554
19,8,0.548822,297
19,80,0.444068,295
19,81,0.485849,424
2,20,0.563953,344
2,25,0.560137,291
2,27,0.461017,295
2,3,0.508621,232
2,31,0.517544,570
2,35,0.552347,277
2,4,0.563559,236
2,50,0.502222,225
2,52,0.42487,193
2,58,0.529412,119
2,6,0.50547,457
2,60,0.541667,144
2,63,0.57377,183
2,64,0.51272,511
2,65,0.557562,443
2,66,0.537736,318
2,67,0.478261,207
2,69,0.520179,223
2,7,0.554645,366
2,72,0.504545,220
2,76,0.5,166
2,77,0.518692,428
2,79,0.478528,326
2,8,0.573034,178
2,80,0.547945,365
2,81,0.539683,315
20,25,0.520256,469
20,27,0.515464,485
20,3,0.575758,462
20,31,0.524146,849
20,35,0.547569,473
20,4,0.545794,535
20,50,0.578495,465
20,52,0.431877,389
20,58,0.554217,166
20,6,0.55754,504
20,60,0.529167,240
20,63,0.497826,460
20,64,0.559611,822
20,65,0.550429,932
20,66,0.542471,518
20,67,0.483986,281
20,69,0.595794,428
20,7,0.589013,983
20,72,0.517007,294
20,76,0.523148,216
20,77,0.547619,756
20,79,0.451613,341
20,8,0.571429,343
20,80,0.551786,560
20,81,0.593128,553
25,27,0.51938,129
25,3,0.506667,300
25,31,0.478697,399
25,35,0.511765,170
25,4,0.462069,145
25,50,0.538732,284
25,52,0.404255,188
25,58,0.493976,83
25,6,0.492308,130
25,60,0.414141,198
25,63,0.462687,268
25,64,0.444795,317
25,65,0.489071,366
25,66,0.455696,79
25,67,0.478723,282
25,69,0.482353,340
25,7,0.524138,435
25,72,0.409091,66
25,76,0.506579,152
25,77,0.465455,275
25,79,0.462532,387
25,8,0.511962,209
25,80,0.481081,185
25,81,0.518657,268
27,3,0.5,324
27,31,0.476096,502
27,35,0.5125,240
27,4,0.447674,172
27,50,0.489865,296
27,52,0.369565,230
27,58,0.561404,114
27,6,0.434524,168
27,60,0.452261,199
27,63,0.461538,273
27,64,0.493404,379
27,65,0.504717,424
27,66,0.515723,159
27,67,0.544747,257
27,69,0.476303,422
27,7,0.497863,468
27,72,0.422414,116
27,76,0.536913,149
27,77,0.465574,305
27,79,0.371105,353
27,8,0.512821,234
27,80,0.487705,244
27,81,0.559105,313
3,31,0.488889,630
3,35,0.546835,395
3,4,0.511327,309
3,50,0.529644,253
3,52,0.405172,232
3,58,0.53012,83
3,6,0.466667,390
3,60,0.395522,134
3,63,0.485437,206
3,64,0.513966,537
3,65,0.498896,453
3,66,0.552326,344
3,67,0.485549,173
3,69,0.532872,289
3,7,0.536797,462
3,72,0.442688,253
3,76,0.502732,183
3,77,0.489311,421
3,79,0.393162,234
3,8,0.59375,224
3,80,0.520833,288
3,81,0.531157,337
31,35,0.539583,480
31,4,0.50431,464
31,50,0.500824,607
31,52,0.407323,437
31,58,0.534694,245
31,6,0.480836,574
31,60,0.464,250
31,63,0.423759,564
31,64,0.492522,1003
31,65,0.499494,989
31,66,0.484043,376
31,67,0.472081,394
31,69,0.439516,496
31,7,0.514196,951
31,72,0.465625,320
31,76,0.475921,353
31,77,0.514586,857
31,79,0.430189,530
31,8,0.544118,408
31,80,0.511188,581
31,81,0.539437,710
35,4,0.488281,256
35,50,0.516923,325
35,52,0.390351,228
35,58,0.55,120
35,6,0.472222,180
35,60,0.43662,142
35,63,0.506897,290
35,64,0.502879,521
35,65,0.495327,535
35,66,0.596154,208
35,67,0.502347,213
35,69,0.486647,337
35,7,0.539455,697
35,72,0.472868,129
35,76,0.477707,157
35,77,0.546632,386
35,79,0.421642,268
35,8,0.544715,246
35,80,0.513986,286
35,81,0.577508,329
4,50,0.519149,235
4,52,0.372093,172
4,58,0.546512,86
4,6,0.547085,223
4,60,0.427536,138
4,63,0.473684,228
4,64,0.51699,412
4,65,0.492877,351
4,66,0.538462,156
4,67,0.568528,197
4,69,0.516364,275
4,7,0.533875,369
4,72,0.442623,122
4,76,0.493056,144
4,77,0.525974,308
4,79,0.396491,285
4,8,0.583333,192
4,80,0.484127,252
4,81,0.514925,268
50,52,0.455056,178
50,58,0.55,100
50,6,0.488251,383
50,60,0.496403,139
50,63,0.480769,208
50,64,0.505859,512
50,65,0.518006,361
50,66,0.539326,267
50,67,0.541485,229
50,69,0.460481,291
50,7,0.567164,402
50,72,0.467593,216
50,76,0.396226,106
50,77,0.505208,384
50,79,0.470395,304
50,8,0.516304,184
50,80,0.530172,232
50,81,0.515038,266
52,58,0.416667,84
52,6,0.445378,238
52,60,0.446154,130
52,63,0.382514,183
52,64,0.39599,399
52,65,0.38484,343
52,66,0.426471,204
52,67,0.395745,235
52,69,0.390681,279
52,7,0.422713,317
52,72,0.416058,137
52,76,0.439252,107
52,77,0.427119,295
52,79,0.347015,268
52,8,0.470297,202
52,80,0.434783,253
52,81,0.485714,210
58,6,0.47482,139
58,60,0.484375,64
58,63,0.555556,99
58,64,0.511962,209
58,65,0.517544,228
58,66,0.495798,119
58,67,0.550847,118
58,69,0.507692,130
58,7,0.5,154
58,72,0.483871,62
58,76,0.552381,105
58,77,0.603448,174
58,79,0.452128,188
58,8,0.573034,89
58,80,0.51938,129
58,81,0.564885,131
6,60,0.470238,168
6,63,0.467532,385
6,64,0.505285,473
6,65,0.502504,599
6,66,0.509259,108
6,67,0.472924,277
6,69,0.518732,347
6,7,0.500907,551
6,72,0.516667,120
6,76,0.506073,247
6,77,0.502577,388
6,79,0.465934,455
6,8,0.497976,247
6,80,0.514658,307
6,81,0.568293,410
60,63,0.401515,132
60,64,0.487973,291
60,65,0.459459,333
60,66,0.44,200
60,67,0.473684,57
60,69,0.442308,104
60,7,0.392523,214
60,72,0.470588,119
60,76,0.445946,74
60,77,0.501792,279
60,79,0.346154,52
60,8,0.535354,99
60,80,0.455556,180
60,81,0.461538,169
63,64,0.492099,443
63,65,0.494062,421
63,66,0.483471,242
63,67,0.433036,224
63,69,0.427451,255
63,7,0.539157,332
63,72,0.43913,230
63,76,0.367188,128
63,77,0.445013,391
63,79,0.391566,332
63,8,0.542105,190
63,80,0.461538,299
63,81,0.494505,273
64,65,0.534292,904
64,66,0.5,330
64,67,0.561905,420
64,69,0.495575,565
64,7,0.52412,767
64,72,0.486692,263
64,76,0.501832,273
64,77,0.529332,733
64,79,0.454984,622
64,8,0.575521,384
64,80,0.546763,556
64,81,0.56486,609
65,66,0.46594,367
65,67,0.515712,541
65,69,0.494737,570
65,7,0.502591,579
65,72,0.445783,332
65,76,0.5,354
65,77,0.527581,707
65,79,0.437995,758
65,8,0.583784,370
65,80,0.525641,546
65,81,0.564685,572
66,67,0.494881,293
66,69,0.519802,404
66,7,0.530938,501
66,72,0.514706,68
66,76,0.537931,145
66,77,0.43913,230
66,79,0.413793,348
66,8,0.562232,233
66,80,0.540881,159
66,81,0.518072,249
67,69,0.538462,78
67,7,0.501312,381
67,72,0.5,216
67,76,0.526946,167
67,77,0.494413,358
67,79,0.48,50
67,8,0.58,100
67,80,0.52669,281
67,81,0.545788,273
69,7,0.54424,599
69,72,0.449827,289
69,76,0.440994,161
69,77,0.496982,497
69,79,0.354167,96
69,8,0.52657,207
69,80,0.486068,323
69,81,0.525424,295
7,72,0.51269,394
7,76,0.528796,191
7,77,0.500917,545
7,79,0.436285,463
7,8,0.590604,447
7,80,0.5175,400
7,81,0.555556,441
72,76,0.45082,122
72,77,0.488263,213
72,79,0.396721,305
72,8,0.506944,144
72,80,0.47619,168
72,81,0.484694,196
76,77,0.454545,264
76,79,0.455959,193
76,8,0.577586,116
76,80,0.523404,235
76,81,0.488688,221
77,79,0.453039,543
77,8,0.590759,303
77,80,0.487705,488
77,81,0.507752,516
79,8,0.459677,124
79,80,0.478652,445
79,81,0.533149,362
8,80,0.524887,221
8,81,0.608108,222
80,81,0.535308,439
