hero_a,hero_b,counter_score
1,2,-0.09010600000000002
1,3,-0.044262000000000024
1,4,-0.009091000000000016
1,6,0.008591000000000015
1,7,-0.067521
1,8,-0.086345
1,10,-0.07894699999999999
1,11,-0.06930700000000001
1,12,-0.009091000000000016
1,13,-0.061033000000000004
1,14,-0.12886599999999998
1,15,-0.02838400000000002
1,16,-0.09935899999999998
1,17,-0.013274000000000008
1,18,-0.072687
1,19,0.025424000000000002
1,20,-0.083673
1,25,-0.02558100000000002
1,27,-0.04877999999999999
1,31,-0.011236000000000024
1,35,-0.09271499999999999
1,50,-0.084314
1,52,0.06561099999999997
1,58,-0.11224499999999998
1,60,0.01200000000000001
1,63,0.02400000000000002
1,64,-0.02620499999999998
1,65,-0.0011090000000000266
1,66,-0.06849300000000003
1,67,0.020737000000000005
1,69,-0.029411999999999994
1,72,0.05555600000000005
1,76,-0.08571400000000001
1,77,-0.07611899999999999
1,79,0.03303999999999996
1,80,-0.07195600000000002
1,81,-0.08032800000000001
2,1,0.09010600000000002
2,3,0.0014009999999999856
2,4,0.028169
2,6,0.023120999999999947
2,7,-0.04103899999999999
2,8,-0.015037999999999996
2,10,0.05964899999999995
2,11,0.02747299999999997
2,12,0.00495000000000001
2,13,0.030387000000000053
2,14,0.028735999999999984
2,15,0.04205599999999998
2,16,-0.01364399999999999
2,17,0.042483999999999966
2,18,-0.00870399999999999
2,19,0.046340999999999966
2,20,0.0034129999999999994
2,25,0.039032999999999984
2,27,0.05149499999999996
2,31,0.04490099999999997
2,35,-0.0063289999999999735
2,50,0.007507999999999959
2,52,0.11089499999999997
2,58,0.020325000000000037
2,60,0.02777799999999997
2,63,0.07594900000000004
2,64,0.027156999999999987
2,65,-0.014459999999999973
2,66,0.01054900000000003
2,67,0.009579000000000004
2,69,0.022472000000000047
2,72,0.04205599999999998
2,76,0.078704
2,77,0.023809999999999998
2,79,0.08090200000000003
2,80,0.013228000000000018
2,81,0.021127000000000007
3,1,0.044262000000000024
3,2,-0.0014009999999999856
3,4,0.011326999999999976
3,6,-0.0032260000000000066
3,7,-0.017747999999999986
3,8,-0.063863
3,10,0.03417300000000001
3,11,-0.033333
3,12,-0.006535999999999986
3,13,-0.011753999999999987
3,14,0.05555600000000005
3,15,0.02795000000000003
3,16,-0.033496000000000026
3,17,0.007245999999999975
3,18,-0.025722999999999996
3,19,0.05011699999999997
3,20,-0.02813300000000002
3,25,0.021127000000000007
3,27,0.05108400000000002
3,31,0.012155999999999945
3,35,-0.011936000000000002
3,50,-0.009755999999999987
3,52,0.10204100000000005
3,58,-0.006757000000000013
3,60,0.04054100000000005
3,63,-0.0011929999999999996
3,64,-0.01256299999999999
3,65,0.017081000000000013
3,66,-0.009554000000000007
3,67,0.024163999999999963
3,69,0.013001999999999958
3,72,0.004425000000000012
3,76,-0.015151999999999999
3,77,-0.019427000000000028
3,79,0.06725099999999995
3,80,-0.04489199999999999
3,81,-0.006848999999999994
4,1,0.00909099999999996
4,2,-0.028169
