hero_a,hero_b,synergy_score,games
1,10,0.42,350
1,11,0.529183,257
1,12,0.474654,217
1,13,0.436066,305
1,14,0.40146,137
1,15,0.423729,236
1,16,0.53617,470
1,17,0.494253,87
1,18,0.43722,446
1,19,0.361233,227
1,2,0.438776,196
1,20,0.508163,490
1,25,0.477124,153
1,27,0.421053,171
1,3,0.41129,248
1,31,0.437956,411
1,35,0.481781,247
1,4,0.5375,160
1,50,0.459893,187
1,52,0.353933,178
1,58,0.530612,98
1,6,0.443878,196
1,60,0.383234,167
1,63,0.398936,188
1,64,0.457766,367
1,65,0.438119,404
1,66,0.446809,141
1,67,0.514184,282
1,69,0.425287,348
1,7,0.474286,350
1,72,0.475,120
1,76,0.408,125
1,77,0.501946,257
1,79,0.396867,383
1,8,0.53886,193
1,80,0.47191,178
1,81,0.468293,205
10,11,0.565789,304
10,12,0.447699,239
10,13,0.476408,657
10,14,0.447059,170
10,15,0.41623,382
10,16,0.508325,1021
10,17,0.448454,194
10,18,0.500754,663
10,19,0.425676,592
10,2,0.490625,320
10,20,0.508661,635
10,25,0.471698,371
10,27,0.429787,470
10,3,0.496614,443
10,31,0.490272,771
10,35,0.488152,422
10,4,0.502646,378
10,50,0.467933,421
10,52,0.386423,383
10,58,0.47093,172
10,6,0.469345,473
10,60,0.403315,181
10,63,0.44385,374
10,64,0.508043,746
10,65,0.479034,787
10,66,0.5,388
10,67,0.437788,217
10,69,0.46648,358
10,7,0.501873,801
10,72,0.417969,256
10,76,0.471074,242
10,77,0.500705,709
10,79,0.390879,307
10,8,0.540453,309
10,80,0.467583,509
10,81,0.49011,455
11,12,0.553191,94
11,13,0.550336,447
11,14,0.5375,80
11,15,0.537736,212
11,16,0.592453,530
11,17,0.496241,133
11,18,0.577465,213
11,19,0.494208,259
11,2,0.570776,219
11,20,0.556391,266
11,25,0.488506,174
11,27,0.520325,246
11,3,0.5375,240
11,31,0.546154,390
11,35,0.654255,188
11,4,0.524444,225
11,50,0.566802,247
11,52,0.404255,188
11,58,0.522936,109
11,6,0.478814,236
11,60,0.414894,94
11,63,0.493976,249
11,64,0.545894,414
11,65,0.561538,520
11,66,0.56701,194
11,67,0.449541,109
11,69,0.469945,183
11,7,0.551456,515
11,72,0.491525,118
11,76,0.607692,130
11,77,0.561562,333
11,79,0.480519,154
11,8,0.619355,155
11,80,0.541219,279
11,81,0.554817,301
12,13,0.496454,423
12,14,0.340426,47
12,15,0.46875,128
12,16,0.550562,445
12,17,0.386861,137
12,18,0.487654,162
12,19,0.454976,211
12,2,0.527586,290
12,20,0.558442,308
12,25,0.571429,161
12,27,0.454082,196
12,3,0.494208,259
12,31,0.477663,291
12,35,0.50625,160
12,4,0.467391,184
12,50,0.521595,301
12,52,0.40708,226
12,58,0.525773,97
12,6,0.533333,120
12,60,0.442857,70
12,63,0.473684,285
12,64,0.507042,284
12,65,0.52,475
12,66,0.52459,183
12,67,0.505618,89
12,69,0.496296,135
12,7,0.526578,602
12,72,0.463918,97
12,76,0.473684,95
12,77,0.525547,274
12,79,0.402597,77
12,8,0.535484,155
12,80,0.491124,169
12,81,0.448454,194
13,14,0.459459,222
13,15,0.478632,468
13,16,0.558646,827
13,17,0.506667,150
13,18,0.532233,1272
13,19,0.467905,592
13,2,0.486755,302
13,20,0.53048,771
13,25,0.493947,413
13,27,0.497409,386
13,3,0.506667,375
13,31,0.535129,854
13,35,0.514178,529
13,4,0.523659,317
13,50,0.551839,299
13,52,0.414545,275
13,58,0.503226,155
13,6,0.509565,575
13,60,0.490826,218
13,63,0.476027,292
13,64,0.511692,727
13,65,0.505477,639
13,66,0.490431,418
13,67,0.497409,386
13,69,0.506522,460
13,7,0.52226,584
13,72,0.46789,327
13,76,0.525641,234
13,77,0.542039,559
13,79,0.427992,493
13,8,0.50974,308
13,80,0.537275,389
13,81,0.523697,422
14,15,0.392857,140
14,16,0.528455,246
14,17,0.34375,64
14,18,0.41958,143
14,19,0.412969,293
14,2,0.517544,114
14,20,0.517647,170
14,25,0.5,156
14,27,0.462121,132
14,3,0.365854,82
14,31,0.460317,252
14,35,0.461538,156
14,4,0.451128,133
14,50,0.423423,111
14,52,0.375,88
14,58,0.481481,54
14,6,0.433155,187
14,60,0.4,50
14,63,0.483333,120
14,64,0.463235,272
14,65,0.449324,296
14,66,0.521739,161
14,67,0.513514,37
14,69,0.348485,66
14,7,0.514151,212
14,72,0.449541,109
14,76,0.544118,68
14,77,0.430328,244
14,79,0.3125,48
14,8,0.509091,55
14,80,0.478673,211
14,81,0.474227,194
15,16,0.473492,547
15,17,0.438356,146
15,18,0.4613,323
15,19,0.411392,316
15,2,0.487261,314
15,20,0.490148,406
15,25,0.416667,192
15,27,0.379032,248
15,3,0.387205,297
15,31,0.467023,561
15,35,0.46371,248
15,4,0.498246,285
15,50,0.421456,261
15,52,0.376147,218
15,58,0.507692,130
15,6,0.464286,280
15,60,0.371901,121
15,63,0.401544,259
15,64,0.465385,520
15,65,0.446069,547
15,66,0.425532,188
15,67,0.463158,190
15,69,0.405303,264
15,7,0.464455,422
15,72,0.335616,146
15,76,0.418478,184
15,77,0.43956,455
15,79,0.383275,287
15,8,0.539267,191
15,80,0.501333,375
15,81,0.502793,358
16,17,0.536667,300
16,18,0.572464,1104
16,19,0.512821,624
16,2,0.578947,684
16,20,0.59799,1393
16,25,0.563131,396
16,27,0.536145,498
16,3,0.542079,808
16,31,0.516484,1183
16,35,0.544355,744
16,4,0.53125,448
16,50,0.552113,710
16,52,0.441509,530
16,58,0.495833,240
16,6,0.539715,491
16,60,0.510949,274
16,63,0.490991,666
16,64,0.549758,1035
16,65,0.55625,960
16,66,0.5953,383
16,67,0.519637,331
16,69,0.556497,708
16,7,0.579606,1118
16,72,0.494565,368
16,76,0.523511,319
16,77,0.561947,678
16,79,0.40566,424
16,8,0.602389,586
16,80,0.545852,458
16,81,0.575617,648
17,18,0.507553,331
17,19,0.413793,232
17,2,0.536364,110
17,20,0.471616,229
17,25,0.451613,155
17,27,0.512,125
17,3,0.428571,112
17,31,0.422222,315
17,35,0.475524,143
17,4,0.5,100
17,50,0.441176,136
17,52,0.409091,88
17,58,0.490566,53
17,6,0.5,206
17,60,0.494382,89
17,63,0.405941,101
17,64,0.494545,275
17,65,0.488372,215
17,66,0.433824,136
17,67,0.462185,119
17,69,0.488189,127
17,7,0.473054,167
17,72,0.41129,124
17,76,0.458333,72
17,77,0.449153,236
17,79,0.352113,142
